,week_num,num,broad_rank,name,broad_share
0,0,0,1,스타,38.4%
1,0,1,2,LoL,19%
2,0,2,3,배틀그라운드,14.1%
3,0,3,4,서든어택,6.5%
4,0,4,5,종합게임,4.5%
5,0,5,6,던전앤파이터 모바일,2.9%
6,0,6,7,피파온라인4,3.1%
7,0,7,8,메이플스토리,1.2%
8,0,8,9,로스트아크,1%
9,0,9,10,세븐나이츠 레볼루션,0.9%
10,0,10,11,리니지M,0.6%
11,0,11,12,TFT,0.6%
12,0,12,13,카트라이더,0.6%
13,0,13,14,아이온,0.5%
14,0,14,15,리니지,0.4%
15,0,15,16,오딘: 발할라 라이징,0.3%
16,0,16,17,스페셜포스,0.3%
17,0,17,18,스타2,0.3%
18,0,18,19,철권,0.3%
19,0,19,20,PC 온라인,0.3%
20,0,20,21,미르M,0.3%
21,0,21,22,모바일 종합게임,0.2%
22,0,22,23,워크래프트,0.2%
23,0,23,24,레트로게임,0.2%
24,0,24,25,디아블로2,0.2%
25,0,25,26,테일즈런너,0.2%
26,0,26,27,던파,0.2%
27,0,27,28,R2,0.1%
28,0,28,29,오버워치,0.1%
29,0,29,30,거상,0.1%
30,1,30,1,스타,40.2%
31,1,31,2,LoL,18.5%
32,1,32,3,배틀그라운드,14.2%
33,1,33,4,서든어택,6.4%
34,1,34,5,피파온라인4,4.9%
35,1,35,6,종합게임,2.9%
36,1,36,7,메이플스토리,1.3%
37,1,37,8,오딘: 발할라 라이징,1.1%
38,1,38,9,던전앤파이터 모바일,1%
39,1,39,10,로스트아크,0.8%
40,1,40,11,리니지M,0.7%
41,1,41,12,카트라이더,0.7%
42,1,42,13,TFT,0.7%
43,1,43,14,아이온,0.6%
44,1,44,15,리니지,0.5%
45,1,45,16,모바일 종합게임,0.5%
46,1,46,17,PC 온라인,0.3%
47,1,47,18,스페셜포스,0.3%
48,1,48,19,스타2,0.3%
49,1,49,20,철권,0.3%
50,1,50,21,워크래프트,0.2%
51,1,51,22,디아블로2,0.2%
52,1,52,23,레트로게임,0.2%
53,1,53,24,제2의 나라,0.2%
54,1,54,25,던파,0.2%
55,1,55,26,테일즈런너,0.2%
56,1,56,27,오버워치,0.2%
57,1,57,28,미르M,0.1%
58,1,58,29,R2,0.1%
59,1,59,30,거상,0.1%
60,2,60,1,스타,38.1%
61,2,61,2,LoL,20.8%
62,2,62,3,배틀그라운드,11.2%
63,2,63,4,서든어택,7.7%
64,2,64,5,피파온라인4,3.3%
65,2,65,6,종합게임,3.2%
66,2,66,7,모바일 종합게임,1.3%
67,2,67,8,메이플스토리,1.3%
68,2,68,9,TFT,1.1%
69,2,69,10,오딘: 발할라 라이징,0.9%
70,2,70,11,던파,1%
71,2,71,12,던전앤파이터 모바일,0.9%
72,2,72,13,세븐나이츠 레볼루션,0.9%
73,2,73,14,리니지M,0.8%
74,2,74,15,로스트아크,0.7%
75,2,75,16,카트라이더,0.6%
76,2,76,17,아이온,0.5%
77,2,77,18,세븐나이츠,0.5%
78,2,78,19,리니지,0.4%
