,Unnamed: 0.1,Unnamed: 0,broad_rank,name,broad_share,index_num,week_num
0,0,0,1,LOL,34%,0,142
1,1,1,2,배틀그라운드,17.4%,1,142
2,2,2,3,스타,15.3%,2,142
3,3,3,4,서든어택,7.3%,3,142
4,4,4,5,피파온라인4,4.8%,4,142
5,5,5,6,메이플스토리,3.3%,5,142
6,6,6,7,PC 기타게임,1.8%,6,142
7,7,7,8,스팀게임,1.6%,7,142
8,8,8,9,비디오게임,1.5%,8,142
9,9,9,10,리니지,1.5%,9,142
10,10,10,11,TFT,1.4%,10,142
11,11,11,12,WOW,1.1%,11,142
12,12,12,13,카트라이더,1%,12,142
13,13,13,14,GTA5,0.9%,13,142
14,14,14,15,고전게임,0.8%,14,142
15,15,15,16,오버워치,0.7%,15,142
16,16,16,17,아이온,0.6%,16,142
17,17,17,18,워크래프트,0.5%,17,142
18,18,18,19,로스트아크,0.5%,18,142
19,19,19,20,던파,0.4%,19,142
20,20,20,21,스페셜포스,0.4%,20,142
21,21,21,22,Blade N Soul,0.4%,21,142
22,22,22,23,거상,0.3%,22,142
23,23,23,24,스타2,0.2%,23,142
24,24,24,25,디아블로2,0.2%,24,142
25,25,25,26,테일즈런너,0.1%,25,142
26,26,26,27,마인크래프트,0.1%,26,142
27,27,27,28,사이퍼즈,0.1%,27,142
28,28,28,29,버블파이터,0.1%,28,142
29,29,29,30,프리스타일,0.1%,29,142
30,30,0,1,LOL,41.5%,30,141
31,31,1,2,배틀그라운드,14.2%,31,141
32,32,2,3,스타,12%,32,141
33,33,3,4,서든어택,7%,33,141
34,34,4,5,피파온라인4,2.8%,34,141
35,35,5,6,메이플스토리,2.8%,35,141
36,36,6,7,스팀게임,2.6%,36,141
37,37,7,8,바람의나라,1.9%,37,141
38,38,8,9,비디오게임,1.6%,38,141
39,39,9,10,PC 기타게임,1.6%,39,141
40,40,10,11,리니지,1.5%,40,141
41,41,11,12,카트라이더,1.4%,41,141
42,42,12,13,GTA5,0.9%,42,141
43,43,13,14,고전게임,0.9%,43,141
44,44,14,15,TFT,0.7%,44,141
45,45,15,16,WOW,0.7%,45,141
46,46,16,17,오버워치,0.5%,46,141
47,47,17,18,로스트아크,0.5%,47,141
48,48,18,19,워크래프트,0.4%,48,141
49,49,19,20,스페셜포스,0.4%,49,141
50,50,20,21,던파,0.4%,50,141
51,51,21,22,G-STAR,0.4%,51,141
52,52,22,23,아이온,0.4%,52,141
53,53,23,24,거상,0.3%,53,141
54,54,24,25,Blade N Soul,0.2%,54,141
55,55,25,26,디아블로2,0.2%,55,141
56,56,26,27,스타2,0.2%,56,141
57,57,27,28,철권,0.2%,57,141
