,Unnamed: 0,num,title,play_share,index_num,week_num
0,0,1,LOL,34%,0,0
1,1,2,배틀그라운드,17.4%,1,0
2,2,3,스타,15.3%,2,0
3,3,4,서든어택,7.3%,3,0
4,4,5,피파온라인4,4.8%,4,0
5,5,6,메이플스토리,3.3%,5,0
6,6,7,PC 기타게임,1.8%,6,0
7,7,8,스팀게임,1.6%,7,0
8,8,9,비디오게임,1.5%,8,0
9,9,10,리니지,1.5%,9,0
10,10,11,TFT,1.4%,10,0
11,11,12,WOW,1.1%,11,0
12,12,13,카트라이더,1%,12,0
13,13,14,GTA5,0.9%,13,0
14,14,15,고전게임,0.8%,14,0
15,15,16,오버워치,0.7%,15,0
16,16,17,아이온,0.6%,16,0
17,17,18,워크래프트,0.5%,17,0
18,18,19,로스트아크,0.5%,18,0
19,19,20,던파,0.4%,19,0
20,20,21,스페셜포스,0.4%,20,0
21,21,22,Blade N Soul,0.4%,21,0
22,22,23,거상,0.3%,22,0
23,23,24,스타2,0.2%,23,0
24,24,25,디아블로2,0.2%,24,0
25,25,26,테일즈런너,0.1%,25,0
26,26,27,마인크래프트,0.1%,26,0
27,27,28,사이퍼즈,0.1%,27,0
28,28,29,버블파이터,0.1%,28,0
29,29,30,프리스타일,0.1%,29,0
30,0,1,LOL,41.5%,30,1
31,1,2,배틀그라운드,14.2%,31,1
32,2,3,스타,12%,32,1
33,3,4,서든어택,7%,33,1
34,4,5,피파온라인4,2.8%,34,1
35,5,6,메이플스토리,2.8%,35,1
36,6,7,스팀게임,2.6%,36,1
37,7,8,바람의나라,1.9%,37,1
38,8,9,비디오게임,1.6%,38,1
39,9,10,PC 기타게임,1.6%,39,1
40,10,11,리니지,1.5%,40,1
41,11,12,카트라이더,1.4%,41,1
42,12,13,GTA5,0.9%,42,1
43,13,14,고전게임,0.9%,43,1
44,14,15,TFT,0.7%,44,1
45,15,16,WOW,0.7%,45,1
46,16,17,오버워치,0.5%,46,1
47,17,18,로스트아크,0.5%,47,1
48,18,19,워크래프트,0.4%,48,1
49,19,20,스페셜포스,0.4%,49,1
50,20,21,던파,0.4%,50,1
51,21,22,G-STAR,0.4%,51,1
52,22,23,아이온,0.4%,52,1
53,23,24,거상,0.3%,53,1
54,24,25,Blade N Soul,0.2%,54,1
55,25,26,디아블로2,0.2%,55,1
56,26,27,스타2,0.2%,56,1
57,27,28,철권,0.2%,57,1
58,28,29,마인크래프트,0.2%,58,1
59,29,30,프리스타일,0.1%,59,1
60,0,1,LOL,31.5%,60,2
61,1,2,배틀그라운드,14.5%,61,2
62,2,3,비디오게임,11.2%,62,2
63,3,4,스타,10.9%,63,2
64,4,5,서든어택,6.9%,64,2
65,5,6,피파온라인4,5.2%,65,2
66,6,7,스팀게임,2.9%,66,2
67,7,8,G-STAR,2.8%,67,2
68,8,9,메이플스토리,2.7%,68,2
69,9,10,PC 기타게임,1.5%,69,2
70,10,11,리니지,1.4%,70,2
71,11,12,카트라이더,1.2%,71,2
72,12,13,TFT,0.8%,72,2
73,13,14,고전게임,0.6%,73,2
74,14,15,WOW,0.6%,74,2
75,15,16,로스트아크,0.4%,75,2
76,16,17,오버워치,0.4%,76,2
77,17,18,워크래프트,0.4%,77,2
78,18,19,스페셜포스,0.4%,78,2
79,19,20,던파,0.4%,79,2
80,20,21,아이온,0.3%,80,2
81,21,22,거상,0.3%,81,2
82,22,23,Blade N Soul,0.2%,82,2
83,23,24,디아블로2,0.2%,83,2
84,24,25,디아블로3,0.2%,84,2
85,25,26,스타2,0.1%,85,2
86,26,27,버블파이터,0.1%,86,2
87,27,28,사이퍼즈,0.1%,87,2
88,28,29,바람의나라,0.1%,88,2
89,29,30,GTA5,0.1%,89,2
90,0,1,LOL,30.6%,90,3
91,1,2,배틀그라운드,18.3%,91,3
92,2,3,비디오게임,10.3%,92,3
93,3,4,스타,9.2%,93,3
94,4,5,서든어택,7.3%,94,3
95,5,6,피파온라인4,4.7%,95,3
96,6,7,메이플스토리,3.1%,96,3
97,7,8,PC 기타게임,2.7%,97,3
98,8,9,바람의나라,1.8%,98,3
99,9,10,리니지,1.5%,99,3
100,10,11,TFT,1.2%,100,3
101,11,12,마인크래프트,1.1%,101,3
102,12,13,카트라이더,1.1%,102,3
103,13,14,고전게임,0.6%,103,3
104,14,15,스팀게임,0.6%,104,3
105,15,16,오버워치,0.4%,105,3
106,16,17,로스트아크,0.4%,106,3
107,17,18,워크래프트,0.4%,107,3
108,18,19,던파,0.4%,108,3
109,19,20,WOW,0.4%,109,3
110,20,21,스페셜포스,0.3%,110,3
111,21,22,아이온,0.3%,111,3
112,22,23,거상,0.3%,112,3
113,23,24,Blade N Soul,0.3%,113,3
114,24,25,디아블로3,0.2%,114,3
115,25,26,철권,0.2%,115,3
116,26,27,디아블로2,0.2%,116,3
117,27,28,GTA5,0.2%,117,3
118,28,29,레인보우 식스,0.2%,118,3
119,29,30,테일즈런너,0.1%,119,3
120,0,1,LOL,27.6%,120,4
121,1,2,배틀그라운드,20.7%,121,4
122,2,3,스타,13.8%,122,4
123,3,4,서든어택,10.3%,123,4
124,4,5,피파온라인4,4.7%,124,4
125,5,6,메이플스토리,3.1%,125,4
126,6,7,비디오게임,2.6%,126,4
127,7,8,PC 기타게임,1.8%,127,4
128,8,9,리니지,1.4%,128,4
129,9,10,오버워치,1.4%,129,4
130,10,11,바람의나라,1.3%,130,4
131,11,12,마인크래프트,1.2%,131,4
132,12,13,TFT,1.1%,132,4
133,13,14,카트라이더,1.1%,133,4
134,14,15,스팀게임,0.9%,134,4
135,15,16,로스트아크,0.8%,135,4
136,16,17,고전게임,0.7%,136,4
137,17,18,워크래프트,0.5%,137,4
138,18,19,던파,0.4%,138,4
139,19,20,거상,0.4%,139,4
140,20,21,스페셜포스,0.4%,140,4
141,21,22,WOW,0.4%,141,4
142,22,23,Blade N Soul,0.3%,142,4
143,23,24,아이온,0.3%,143,4
144,24,25,철권,0.2%,144,4
145,25,26,GTA5,0.2%,145,4
146,26,27,디아블로3,0.2%,146,4
147,27,28,디아블로2,0.2%,147,4
148,28,29,테일즈런너,0.2%,148,4
149,29,30,버블파이터,0.1%,149,4
150,0,1,LOL,29.8%,150,5
151,1,2,배틀그라운드,20.2%,151,5
152,2,3,스타,15.2%,152,5
153,3,4,서든어택,8.2%,153,5
154,4,5,피파온라인4,8.1%,154,5
155,5,6,메이플스토리,2.9%,155,5
156,6,7,비디오게임,1.6%,156,5
157,7,8,PC 기타게임,1.4%,157,5
158,8,9,마인크래프트,1.1%,158,5
159,9,10,리니지,1.1%,159,5
160,10,11,TFT,1.1%,160,5
161,11,12,카트라이더,1%,161,5
162,12,13,오버워치,0.9%,162,5
163,13,14,스팀게임,0.7%,163,5
164,14,15,고전게임,0.7%,164,5
165,15,16,로스트아크,0.5%,165,5
166,16,17,던파,0.5%,166,5
167,17,18,워크래프트,0.4%,167,5
168,18,19,스페셜포스,0.4%,168,5
169,19,20,거상,0.4%,169,5
170,20,21,WOW,0.3%,170,5
171,21,22,아이온,0.2%,171,5
172,22,23,Blade N Soul,0.2%,172,5
173,23,24,철권,0.2%,173,5
174,24,25,디아블로2,0.2%,174,5
175,25,26,바람의나라,0.2%,175,5
176,26,27,버블파이터,0.2%,176,5
177,27,28,GTA5,0.2%,177,5
178,28,29,히오스,0.1%,178,5
179,29,30,디아블로3,0.1%,179,5
180,0,1,LOL,26.6%,180,6
181,1,2,배틀그라운드,22.5%,181,6
182,2,3,스타,17.6%,182,6
183,3,4,서든어택,6.5%,183,6
184,4,5,피파온라인4,6.2%,184,6
185,5,6,메이플스토리,3.1%,185,6
186,6,7,PC 기타게임,2.1%,186,6
187,7,8,마인크래프트,2%,187,6
188,8,9,레인보우 식스,1.3%,188,6
189,9,10,비디오게임,1.1%,189,6
190,10,11,TFT,1%,190,6
191,11,12,리니지,1%,191,6
192,12,13,오버워치,0.9%,192,6
193,13,14,카트라이더,0.9%,193,6
194,14,15,던파,0.7%,194,6
195,15,16,스팀게임,0.6%,195,6
196,16,17,로스트아크,0.6%,196,6
197,17,18,고전게임,0.6%,197,6
198,18,19,워크래프트,0.5%,198,6
199,19,20,스페셜포스,0.3%,199,6
200,20,21,WOW,0.3%,200,6
201,21,22,거상,0.3%,201,6
202,22,23,프리스타일,0.2%,202,6
203,23,24,아이온,0.2%,203,6
204,24,25,Blade N Soul,0.2%,204,6
205,25,26,패스오브엑자일,0.2%,205,6
206,26,27,철권,0.2%,206,6
207,27,28,디아블로2,0.2%,207,6
208,28,29,테일즈런너,0.2%,208,6
209,29,30,스타2,0.2%,209,6
210,0,1,LOL,36.3%,210,7
211,1,2,배틀그라운드,17.6%,211,7
212,2,3,스타,8.6%,212,7
213,3,4,서든어택,7%,213,7
214,4,5,피파온라인4,4.9%,214,7
215,5,6,마인크래프트,4.7%,215,7
216,6,7,메이플스토리,3.9%,216,7
217,7,8,PC 기타게임,2.5%,217,7
218,8,9,오버워치,1.7%,218,7
219,9,10,비디오게임,1.4%,219,7
220,10,11,던파,1.2%,220,7
221,11,12,리니지,1.2%,221,7
222,12,13,카트라이더,1.1%,222,7
223,13,14,TFT,0.9%,223,7
224,14,15,스팀게임,0.8%,224,7
225,15,16,로스트아크,0.7%,225,7
226,16,17,고전게임,0.6%,226,7
227,17,18,워크래프트,0.5%,227,7
228,18,19,거상,0.4%,228,7
229,19,20,스페셜포스,0.4%,229,7
230,20,21,아이온,0.3%,230,7
231,21,22,GTA5,0.2%,231,7
232,22,23,Blade N Soul,0.2%,232,7
233,23,24,WOW,0.2%,233,7
234,24,25,디아블로2,0.2%,234,7
235,25,26,스타2,0.2%,235,7
236,26,27,테일즈런너,0.2%,236,7
237,27,28,철권,0.2%,237,7
238,28,29,프리스타일,0.1%,238,7
239,29,30,패스오브엑자일,0.1%,239,7
240,0,1,LOL,37.3%,240,8
241,1,2,배틀그라운드,19.6%,241,8
242,2,3,스타,7.1%,242,8
243,3,4,서든어택,7.7%,243,8
244,4,5,메이플스토리,3.8%,244,8
245,5,6,마인크래프트,3.8%,245,8
246,6,7,피파온라인4,3.2%,246,8
247,7,8,PC 기타게임,2.2%,247,8
248,8,9,오버워치,1.8%,248,8
249,9,10,던파,1.7%,249,8
250,10,11,리니지,1.1%,250,8
