"column-1","column-1 2","column-2","column-3","column-4","column-2 href"
"1","(+2)","디아블로2 레저렉션","블리자드 엔터테인먼트 코리아","RPG",""
"2","(-1)","리그 오브 레전드","라이엇 게임즈","MOBA","https://trees.gamemeca.com/leagueoflegends"
"3","(-1)","피파온라인4","㈜넥슨코리아","스포츠","https://trees.gamemeca.com/fifaonline4"
"4","(-)","로스트아크","㈜스마일게이트알피지","핵앤슬래시 MMORPG","https://trees.gamemeca.com/lostark"
"5","(-)","메이플스토리","㈜넥슨코리아","MMORPG","https://trees.gamemeca.com/maplestory"
"6","(+5)","디아블로2","블리자드 엔터테인먼트","RPG","https://trees.gamemeca.com/diablo2"
"7","(-1)","아이온","㈜엔씨소프트","MMORPG","https://trees.gamemeca.com/aion"
"8","(-1)","서든어택","㈜넥슨코리아","FPS","https://trees.gamemeca.com/suddenattack"
"9","(-1)","배틀그라운드","펍지주식회사, 카카오게임즈","서바이벌 슈팅","https://trees.gamemeca.com/battleground"
"10","(-)","마인크래프트","엑스박스 게임 스튜디오","샌드박스","https://trees.gamemeca.com/minecraft"
"11","(-2)","던전앤파이터","㈜넥슨코리아","벨트 스크롤 액션 RPG","https://trees.gamemeca.com/df"
"12","(-)","천하제일상 거상","㈜에이케이인터렉티브","MMORPG","https://trees.gamemeca.com/gersang"
"13","(-)","발로란트","라이엇 게임즈","FPS","https://trees.gamemeca.com/valorant"
"14","(-)","카트라이더","㈜넥슨코리아","레이싱","https://trees.gamemeca.com/kartrider"
"15","(-)","아키에이지","㈜엑스엘게임즈","판타지 RPG","https://trees.gamemeca.com/archeageon"
"16","(+1)","사이퍼즈","㈜넥슨코리아","액션","https://trees.gamemeca.com/cyphers"
"17","(-1)","리니지","㈜엔씨소프트","MMORPG","https://trees.gamemeca.com/lineageon"
"18","(-)","오버워치","블리자드 엔터테인먼트","팀 기반 슈팅","https://trees.gamemeca.com/playoverwatch"
"19","(-)","테일즈런너","㈜스마일게이트메가포트","레이싱","https://trees.gamemeca.com/talesrunner"
"20","(-)","스타크래프트: 브루드 워","블리자드 엔터테인먼트 코리아","RTS","https://trees.gamemeca.com/starcraft_bw"
"21","(-)","검은사막","㈜펄어비스","MMORPG","https://trees.gamemeca.com/black_desert"
"22","(+2)","엘소드","㈜넥슨코리아","횡스크롤 액션 MMORPG","https://trees.gamemeca.com/elsword"
"23","(-)","크레이지 아케이드 비엔비","㈜넥슨코리아","아케이드","https://trees.gamemeca.com/cabnb"
"24","(+3)","디아블로3","블리자드 엔터테인먼트 코리아","롤플레잉","https://trees.gamemeca.com/diablo3"
"25","(-3)","마비노기","㈜넥슨코리아","MMORPG","https://trees.gamemeca.com/mabinogi"
"26","(-)","콜 오브 듀티: 뱅가드","블리자드 엔터테인먼트 코리아","FPS",""
"27","(-2)","블레이드앤소울","㈜엔씨소프트","MMORPG","https://trees.gamemeca.com/bns"
"28","(-)","파이널 판타지 14","㈜액토즈소프트","MMORPG","https://trees.gamemeca.com/ff14"
"29","(-)","바람의나라","㈜넥슨코리아","MMORPG","https://trees.gamemeca.com/baram"
"30","(-)","월드 오브 워크래프트","블리자드 엔터테인먼트 코리아","MMORPG","https://trees.gamemeca.com/wow"
"31","(+2)","리니지2","㈜엔씨소프트","MMORPG","https://trees.gamemeca.com/lineageonii"
"32","(+2)","패스 오브 엑자일","㈜카카오게임즈","ARPG","https://trees.gamemeca.com/poe"
"33","(-1)","라테일","㈜액토즈소프트","횡스크롤 액션 MMORPG","https://trees.gamemeca.com/latalepc"
"34","(-3)","포트나이트","에픽게임즈","빌딩 서바이벌 배틀로얄","https://trees.gamemeca.com/fortnite"
"35","(+1)","스페셜포스","㈜드래곤플라이","FPS","https://trees.gamemeca.com/specialforce"
"36","(-1)","테라","㈜ 블루홀스튜디오","MMORPG","https://trees.gamemeca.com/teraon"
"37","(-)","하스스톤","블리자드 엔터테인먼트","CCG","https://trees.gamemeca.com/hearthstone"
"38","(-)","엘리온","(주)카카오게임즈","MMORPG","https://trees.gamemeca.com/elyon"
"39","(-)","아바","(주)네오위즈","FPS/TPS",""
"40","(-)","레드문","레드게임즈","RPG",""
