"column-1","column-1 2","column-2 href","rankimg src","column-3","column-4","column-5"
"1","(-)","https://trees.gamemeca.com/traha","https://trees.gamemeca.com/data/monthlyrank/mobile/traha.png","트라하","NEXON Company","롤플레잉"
"2","(+1)","https://trees.gamemeca.com/lineagem19","https://trees.gamemeca.com/data/monthlyrank/mobile/lineagem19.png","리니지M","NCSOFT Corporation","롤플레잉"
"3","(-1)","https://trees.gamemeca.com/bnbmobile","https://trees.gamemeca.com/data/monthlyrank/mobile/bnbmobile.png","크레이지아케이드 BnB M","NEXON Company","아케이드"
"4","(NEW)","https://trees.gamemeca.com/friendstown","https://trees.gamemeca.com/data/monthlyrank/mobile/friendstown.png","프렌즈 타운","Kakao Games Corp.","퍼즐"
"5","(-1)","https://trees.gamemeca.com/brawlstars","https://trees.gamemeca.com/data/monthlyrank/mobile/brawlstars.png","브롤스타즈","Supercell","액션"
"6","(-1)","https://trees.gamemeca.com/lifeafter","https://trees.gamemeca.com/data/monthlyrank/mobile/lifeafter.png","라이프애프터","X.D. Global","어드벤처"
"7","(-)","https://trees.gamemeca.com/roblox","https://trees.gamemeca.com/data/monthlyrank/mobile/roblox.png","ROBLOX","Roblox Corporation","어드벤처"
"8","(-2)","https://trees.gamemeca.com/lineageii","https://trees.gamemeca.com/data/monthlyrank/mobile/lineageii.png","리니지2 레볼루션","Netmarble","롤플레잉"
"9","(+1)","https://trees.gamemeca.com/bnsmkr","https://trees.gamemeca.com/data/monthlyrank/mobile/bnsmkr.png","블레이드&소울 레볼루션","Netmarble","롤플레잉"
"10","(-1)","https://trees.gamemeca.com/blackdesertm","https://trees.gamemeca.com/data/monthlyrank/mobile/blackdesertm.png","검은사막 모바일","PEARL ABYSS","롤플레잉"
"11","(-3)","https://trees.gamemeca.com/princessconnect","https://trees.gamemeca.com/data/monthlyrank/mobile/princessconnect.png","프린세스 커넥트! Re:Dive","Kakao Games Corp.","롤플레잉"
"12","(+3)","https://trees.gamemeca.com/aooni","https://trees.gamemeca.com/data/monthlyrank/mobile/aooni.png","좀비고등학교","AWESOMEPIECE","아케이드"
"13","(-2)","https://trees.gamemeca.com/lynlight","https://trees.gamemeca.com/data/monthlyrank/mobile/lynlight.png","린: 더 라이트브링어","NEXON Company","롤플레잉"
"14","(-2)","https://trees.gamemeca.com/battlem","https://trees.gamemeca.com/data/monthlyrank/mobile/battlem.png","배틀그라운드 모바일","PUBG CORPORATION","액션"
"15","(NEW)","https://trees.gamemeca.com/kofallstar","https://trees.gamemeca.com/data/monthlyrank/mobile/kofallstar.png","더 킹 오브 파이터즈 올스타 (체험판)","Netmarble","롤플레잉"
"16","(-3)","https://trees.gamemeca.com/maplem","https://trees.gamemeca.com/data/monthlyrank/mobile/maplem.png","메이플스토리M","NEXON Company","롤플레잉"
"17","(-3)","https://trees.gamemeca.com/mherosgb","https://trees.gamemeca.com/data/monthlyrank/mobile/mherosgb.png","마블 퓨처파이트","Netmarble","롤플레잉"
"18","(-)","https://trees.gamemeca.com/bleach","https://trees.gamemeca.com/data/monthlyrank/mobile/bleach.png","블리치 - 사신 격투","DeNA HONG KONG LIMITED","롤플레잉"
"19","(+4)","https://trees.gamemeca.com/pokemongo","https://trees.gamemeca.com/data/monthlyrank/mobile/pokemongo.png","포켓몬고","Niantic, Inc.","어드벤처"
"20","(-1)","https://trees.gamemeca.com/mentra","https://trees.gamemeca.com/data/monthlyrank/mobile/mentra.png","맨트라","Century Game (DIANDIAN INTERACTIVE)","롤플레잉"
"21","(-4)","https://trees.gamemeca.com/sknights","https://trees.gamemeca.com/data/monthlyrank/mobile/sknights.png","세븐나이츠 for kakao","Netmarble","롤플레잉"
"22","(-2)","https://trees.gamemeca.com/id5","https://trees.gamemeca.com/data/monthlyrank/mobile/id5.png","제5인격","X.D. Global","어드벤처"
"23","(-7)","https://trees.gamemeca.com/lastorigin","https://trees.gamemeca.com/data/monthlyrank/mobile/lastorigin.png","라스트오리진","smart joy","롤플레잉"
"24","(-3)","https://trees.gamemeca.com/battlecatskr","https://trees.gamemeca.com/data/monthlyrank/mobile/battlecatskr.png","냥코 대전쟁","PONOS Corporation","캐주얼 게임"
"25","(-3)","https://trees.gamemeca.com/hundredsoul","https://trees.gamemeca.com/data/monthlyrank/mobile/hundredsoul.png","헌드레드 소울","HOUND 13","액션"
"26","(+5)","https://trees.gamemeca.com/herocantare","https://trees.gamemeca.com/data/monthlyrank/mobile/herocantare.png","히어로칸타레 with NAVER WEBTOON","NGEL GAMES Co.,Ltd.","롤플레잉"
"27","(-2)","https://trees.gamemeca.com/epic7","https://trees.gamemeca.com/data/monthlyrank/mobile/epic7.png","에픽세븐","Smilegate Megaport","롤플레잉"
"28","(-4)","https://trees.gamemeca.com/modoomarblekakao","https://trees.gamemeca.com/data/monthlyrank/mobile/modoomarblekakao.png","모두의마블 for kakao","Netmarble","보드"
"29","(NEW)","https://trees.gamemeca.com/netmarble_full2016","https://trees.gamemeca.com/data/monthlyrank/mobile/netmarble_full2016.png","이사만루2018","Netmarble","스포츠"
"30","(-3)","https://trees.gamemeca.com/rom_aos","https://trees.gamemeca.com/data/monthlyrank/mobile/rom_aos.png","라그나로크M: 영원한 사랑","GRAVITY Co., Ltd.","롤플레잉"
"31","(-5)","https://trees.gamemeca.com/kingsraid","https://trees.gamemeca.com/data/monthlyrank/mobile/kingsraid.png","킹스레이드","Vespa Inc.","롤플레잉"
