"column-1","column-1 2","column-2","column-2 href","column-3","column-4"
"1","(-)","리니지W","https://trees.gamemeca.com/lineagew","NCSOFT","롤플레잉"
"2","(-)","ROBLOX","https://trees.gamemeca.com/roblox","Roblox Corporation","어드벤처"
"3","(-)","오딘: 발할라 라이징","https://trees.gamemeca.com/odin","KAKAO GAMES CORP.","롤플레잉"
"4","(-)","리니지M","https://trees.gamemeca.com/lineagem19","NCSOFT Corporation","롤플레잉"
"5","(+1)","전략적 팀 전투","https://trees.gamemeca.com/league","Riot Games, Inc","전략"
"6","(-1)","블루 아카이브","https://trees.gamemeca.com/bluearchive","NEXON Company","롤플레잉"
"7","(-)","바람의나라 연","https://trees.gamemeca.com/baram_m","NEXON Company","롤플레잉"
"8","(-)","쿠키런: 킹덤","https://trees.gamemeca.com/cookierunkingdom","Devsisters Corporation","롤플레잉"
"9","(-)","원신","https://trees.gamemeca.com/genshin","miHoYo Limited","어드벤처"
"10","(-)","제2의 나라","https://trees.gamemeca.com/2worlds","Netmarble","롤플레잉"
"11","(+1)","브롤스타즈","https://trees.gamemeca.com/brawlstars","Supercell","액션"
"12","(-1)","리니지2M","https://trees.gamemeca.com/lineage2m19","NCSOFT Corporation","롤플레잉"
"13","(-)","미르4","https://trees.gamemeca.com/mir4","Wemade Co., Ltd","롤플레잉"
"14","(-)","세븐나이츠2","https://trees.gamemeca.com/sevenknights2","Netmarble","롤플레잉"
"15","(-)","검은사막 모바일","https://trees.gamemeca.com/blackdesertm","PEARL ABYSS","롤플레잉"
"16","(-)","카트라이더 러쉬플러스","https://trees.gamemeca.com/nexonkart","NEXON Company","자동차 경주"
"17","(-5)","냥코 대전쟁","https://trees.gamemeca.com/battlecatskr","PONOS Corporation","캐주얼 게임"
"18","(-)","메이플스토리M","https://trees.gamemeca.com/maplem","NEXON Company","롤플레잉"
"19","(-)","포켓몬고","https://trees.gamemeca.com/pokemongo","Niantic, Inc.","어드벤처"
"20","(-3)","블레이드&소울2","https://trees.gamemeca.com/bns219","NCSOFT","롤플레잉"
"21","(-)","피파 모바일","https://trees.gamemeca.com/fmk","NEXON Company","스포츠"
"22","(-2)","심포니 오브 에픽","https://trees.gamemeca.com/soe","Moonton","전략"
"23","(+5)","히어로즈 테일즈","https://trees.gamemeca.com/heroestales","37 MOBILE GAMES","롤플레잉"
"24","(-1)","V4","https://trees.gamemeca.com/v4kr","NEXON Company","롤플레잉"
"25","(+5)","블레이드&소울 레볼루션","https://trees.gamemeca.com/bnsmkr","Netmarble","롤플레잉"
"26","(-)","좀비고등학교","https://trees.gamemeca.com/aooni","AWESOMEPIECE","아케이드"
"27","(-)","일곱개의 대죄: 그랜드 크로스","https://trees.gamemeca.com/sevenguilty","Netmarble","롤플레잉"
"28","(+3)","라이즈 오브 킹덤즈","https://trees.gamemeca.com/rok","Lilith Games","전략"
"29","(-4)","Football Manager 2022 Mobile","","SEGA","스포츠"
"30","(-1)","배틀그라운드 모바일","https://trees.gamemeca.com/battlem","PUBG CORPORATION","액션"
"31","(+1)","리그 오브 레전드: 와일드 리프트","https://trees.gamemeca.com/wildrift","Riot Games, Inc","전략"
"32","(+3)","클래시 로얄","https://trees.gamemeca.com/clashroyale","Supercell","전략"
"33","(-)","더 킹 오브 파이터즈 올스타","https://trees.gamemeca.com/kofallstar","Netmarble","롤플레잉"
"34","(+4)","라스트오리진","https://trees.gamemeca.com/lastorigin","smart joy","롤플레잉"
"35","(+1)","리니지2 레볼루션","https://trees.gamemeca.com/lineageii","Netmarble","롤플레잉"
"36","(-2)","모두의마블","https://trees.gamemeca.com/modoomarblekakao","Netmarble","보드"
"37","(NEW)","제5인격","https://trees.gamemeca.com/id5","X.D. Global","어드벤처"
"38","(+2)","그랑사가","https://trees.gamemeca.com/gransaga","NPIXEL","롤플레잉"
"39","(NEW)","마블 퓨처 레볼루션","https://trees.gamemeca.com/marvelfr","Netmarble","롤플레잉"
"40","(NEW)","정마담","https://trees.gamemeca.com/jmadam","REACH RICH","롤플레잉"
