"column-1","column-2 href","rankimg src","column-3","column-3 href","column-4","column-5"
"1","https://trees.gamemeca.com/battleground","https://trees.gamemeca.com/data/monthlyrank/steam/battleground.png","PLAYERUNKNOWN'S BATTLEGROUNDS","https://trees.gamemeca.com/battleground","PUBG Corporation","FPS"
"2","https://trees.gamemeca.com/stardew_valley","https://trees.gamemeca.com/data/monthlyrank/steam/stardew_valley.png","Stardew Valley","https://trees.gamemeca.com/stardew_valley","ConcernedApe","롤플레잉"
"3","https://trees.gamemeca.com/grand_theft_auto_v","https://trees.gamemeca.com/data/monthlyrank/steam/grand_theft_auto_v.png","Grand Theft Auto V","https://trees.gamemeca.com/grand_theft_auto_v","Rockstar Games","액션"
"4","","https://trees.gamemeca.com/data/monthlyrank/steam/onpiecepiratew4.png","ONE PIECE: PIRATE WARRIORS 4","","BANDAI NAMCO Entertainment","액션"
"5","","https://trees.gamemeca.com/data/monthlyrank/steam/doometernal.png","DOOM Eternal","https://trees.gamemeca.com/doometernal","Bethesda Softworks","액션"
"6","https://trees.gamemeca.com/ark_survival_evolved","https://trees.gamemeca.com/data/monthlyrank/steam/ark_survival_evolved.png","ARK: Survival Evolved","https://trees.gamemeca.com/ark_survival_evolved","Studio Wildcard","어드벤처"
"7","https://trees.gamemeca.com/romance_of_the_three_kingdoms_xiv","https://trees.gamemeca.com/data/monthlyrank/steam/romance_of_the_three_kingdoms_xiv.png","삼국지14","https://trees.gamemeca.com/romance_of_the_three_kingdoms_xiv","KOEI TECMO GAMES CO., LTD.","전략"
"8","https://trees.gamemeca.com/reddeadredemption2","https://trees.gamemeca.com/data/monthlyrank/steam/reddeadredemption2.png","Red Dead Redemption 2","https://trees.gamemeca.com/reddeadredemption2","Rockstar Games","어드벤처"
"9","https://trees.gamemeca.com/ori_and_the_blind_forest","https://trees.gamemeca.com/data/monthlyrank/steam/ori_and_the_blind_forest.png","Ori and the Will of the Wisps","https://trees.gamemeca.com/ori_and_the_blind_forest","Xbox Game Studios","액션"
"10","","https://trees.gamemeca.com/data/monthlyrank/steam/undertale.png","Undertale","","tobyfox","롤플레잉"
"11","https://trees.gamemeca.com/the_forest","https://trees.gamemeca.com/data/monthlyrank/steam/the_forest.png","The Forest","https://trees.gamemeca.com/the_forest","Endnight Games Ltd","액션"
"12","https://trees.gamemeca.com/house_flipper","https://trees.gamemeca.com/data/monthlyrank/steam/house_flipper.png","하우스 플리퍼","https://trees.gamemeca.com/house_flipper","Frozen District, PlayWay S.A.","시뮬레이션"
"13","https://trees.gamemeca.com/Raft","https://trees.gamemeca.com/data/monthlyrank/steam/Raft.png","Raft","https://trees.gamemeca.com/Raft","Axolot Games","어드벤처"
"14","https://trees.gamemeca.com/The_Witcher_3_Wild_Hunt","https://trees.gamemeca.com/data/monthlyrank/steam/The_Witcher_3_Wild_Hunt.png","THE WITCHER 3: WILD HUNT - GAME OF THE YEAR EDITION","https://trees.gamemeca.com/The_Witcher_3_Wild_Hunt","CD PROJEKT RED","롤플레잉"
"15","https://trees.gamemeca.com/monster_hunter_world","https://trees.gamemeca.com/data/monthlyrank/steam/monster_hunter_world.png","Monster Hunter World: Iceborne","https://trees.gamemeca.com/monster_hunter_world","CAPCOM Co., Ltd.","액션"
"16","https://trees.gamemeca.com/Terraria","https://trees.gamemeca.com/data/monthlyrank/steam/Terraria.png","Terraria","https://trees.gamemeca.com/Terraria","Re-Logic","롤플레잉"
"17","","https://trees.gamemeca.com/data/monthlyrank/steam/Assassins_Creed_Syndicate.png","Assassin's Creed® Syndicate","","Ubisoft","액션"
"18","https://trees.gamemeca.com/dark_souls_3","https://trees.gamemeca.com/data/monthlyrank/steam/dark_souls_3.png","DARK SOULS™ III","https://trees.gamemeca.com/dark_souls_3","FromSoftware, Inc., BANDAI NAMCO Entertainment","롤플레잉"
