"column-1","column-1 2","column-2 href","rankimg src","column-3","column-4","column-5"
"1","(-)","https://trees.gamemeca.com/battleground","https://trees.gamemeca.com/data/monthlyrank/steam/battleground.png","플레이어언노운스 배틀그라운드","PUBG Corporation","FPS"
"2","(NEW)","","https://trees.gamemeca.com/data/monthlyrank/steam/hitman.png","히트맨- GAME OF THE YEAR EDITION","Io-Interactive A/S","액션"
"3","(-1)","https://trees.gamemeca.com/stardew_valley","https://trees.gamemeca.com/data/monthlyrank/steam/stardew_valley.png","스타듀밸리","ConcernedApe","롤플레잉"
"4","(-)","https://trees.gamemeca.com/grand_theft_auto_v","https://trees.gamemeca.com/data/monthlyrank/steam/grand_theft_auto_v.png","GTA5","Rockstar Games","액션"
"5","(-)","https://trees.gamemeca.com/onpiecepiratew4","https://trees.gamemeca.com/data/monthlyrank/steam/onpiecepiratew4.png","원피스: 해적무쌍 4","BANDAI NAMCO Entertainment","액션"
"6","(+18)","https://trees.gamemeca.com/monster_hunter_world","https://trees.gamemeca.com/data/monthlyrank/steam/monster_hunter_world.png","몬스터 헌터 월드: 아이스본","CAPCOM Co., Ltd.","액션"
"7","(-1)","https://trees.gamemeca.com/doometernal","https://trees.gamemeca.com/data/monthlyrank/steam/doometernal.png","둠 이터널","Bethesda Softworks","액션"
"8","(-1)","https://trees.gamemeca.com/tom_clancys_rainbow_6_siege","https://trees.gamemeca.com/data/monthlyrank/steam/tom_clancys_rainbow_6_siege.png","톰 클랜시 레인보우 식스 시즈","Ubisoft","FPS"
"9","(NEW)","https://trees.gamemeca.com/human_fall_flat","https://trees.gamemeca.com/data/monthlyrank/steam/human_fall_flat.png","휴먼: 폴 플랫","Curve Digital","퍼즐"
"10","(-)","https://trees.gamemeca.com/nba2k20","https://trees.gamemeca.com/data/monthlyrank/steam/nba2k20.png","NBA 2K20","2K","스포츠"
"11","(-3)","https://trees.gamemeca.com/romance_of_the_three_kingdoms_xiv","https://trees.gamemeca.com/data/monthlyrank/steam/romance_of_the_three_kingdoms_xiv.png","삼국지 14","KOEI TECMO GAMES CO., LTD.","전략"
"12","(-1)","https://trees.gamemeca.com/reddeadredemption2","https://trees.gamemeca.com/data/monthlyrank/steam/reddeadredemption2.png","레드 데드 리뎀션 2","Rockstar Games","액션"
"13","(+1)","https://trees.gamemeca.com/ori_and_the_blind_forest","https://trees.gamemeca.com/data/monthlyrank/steam/ori_and_the_blind_forest.png","오리와 도깨비불","Xbox Game Studios","액션"
"14","(NEW)","","https://trees.gamemeca.com/data/monthlyrank/steam/lang12.png","랑그릿사 1 & 2","NIS America, Inc.","롤플레잉"
"15","(-6)","https://trees.gamemeca.com/arksurvival","https://trees.gamemeca.com/data/monthlyrank/steam/arksurvival.png","아크: 서바이벌 이볼브드","Studio Wildcard","어드벤처"
"16","(-3)","https://trees.gamemeca.com/undertale","https://trees.gamemeca.com/data/monthlyrank/steam/undertale.png","언더테일","tobyfox","롤플레잉"
"17","(-2)","https://trees.gamemeca.com/borderland3","https://trees.gamemeca.com/data/monthlyrank/steam/borderland3.png","보더랜드 3","2K","롤플레잉"
"18","(NEW)","","https://trees.gamemeca.com/data/monthlyrank/steam/mob2.png","마운트 앤 블레이드 2: 배너로드","TaleWorlds Entertainment","전략"
"19","(-7)","https://trees.gamemeca.com/superbman","https://trees.gamemeca.com/data/monthlyrank/steam/superbman.png","슈퍼 버니 맨","Catobyte Ltd","액션"
"20","(-)","https://trees.gamemeca.com/cities_skylines","https://trees.gamemeca.com/data/monthlyrank/steam/cities_skylines.png","시티즈: 스카이 라인","Paradox Interactive","시뮬레이션"
"21","(-5)","https://trees.gamemeca.com/foundation","https://trees.gamemeca.com/data/monthlyrank/steam/foundation.png","파운데이션","Polymorph Games","전략"
"22","(NEW)","","https://trees.gamemeca.com/data/monthlyrank/steam/dan12.png","단간론파 1+2","Spike Chunsoft Co., Ltd.","어드벤처"
"23","(-6)","https://trees.gamemeca.com/sid_meiers_civilization_vi","https://trees.gamemeca.com/data/monthlyrank/steam/sid_meiers_civilization_vi.png","문명 6","2K","전략"
"24","(+8)","https://trees.gamemeca.com/doom","https://trees.gamemeca.com/data/monthlyrank/steam/doom.png","둠","Bethesda Softworks","FPS"
"25","(-7)","https://trees.gamemeca.com/the_forest","https://trees.gamemeca.com/data/monthlyrank/steam/the_forest.png","더 포레스트","Endnight Games Ltd","서바이벌"
"26","(-7)","https://trees.gamemeca.com/tekken_7","https://trees.gamemeca.com/data/monthlyrank/steam/tekken_7.png","철권 7","BANDAI NAMCO Entertainment","액션"
"27","(-4)","https://trees.gamemeca.com/the_witcher_3_wild_hunt","https://trees.gamemeca.com/data/monthlyrank/steam/the_witcher_3_wild_hunt.png","더 위쳐 3: 와일드 헌트","CD PROJEKT RED","롤플레잉"
"28","(-6)","https://trees.gamemeca.com/rust","https://trees.gamemeca.com/data/monthlyrank/steam/rust.png","러스트","Facepunch Studios","FPS"
"29","(NEW)","","https://trees.gamemeca.com/data/monthlyrank/steam/dragonballz.png","드래곤볼 Z 카카로트","BANDAI NAMCO Entertainment","액션"
"30","(NEW)","","https://trees.gamemeca.com/data/monthlyrank/steam/cyberpunk.png","사이버펑크 2077","CD PROJEKT RED","롤플레잉"
"31","(-4)","https://trees.gamemeca.com/sekiro","https://trees.gamemeca.com/data/monthlyrank/steam/sekiro.png","세키로: 섀도우 다이 트와이스","Activision (Excluding Japan and Asia)","액션"
"32","(-6)","https://trees.gamemeca.com/terraria","https://trees.gamemeca.com/data/monthlyrank/steam/terraria.png","테라리아","Re-Logic","롤플레잉"
