"column-1","column-1 2","column-2","column-2 href","column-3","column-4"
"1","(-)","플레이어언노운스 배틀그라운드","https://trees.gamemeca.com/battleground","PUBG Corporation","서바이벌 슈팅"
"2","(-)","FIFA 22","","Electronic Arts","스포츠"
"3","(-)","어몽 어스","https://trees.gamemeca.com/Among_Us","Innersloth","전략"
"4","(+1)","배틀필드 2042","","Electronic Arts","액션"
"5","(+3)","뉴 월드","","Amazon Games","MMORPG"
"6","(-)","GTA 5","https://trees.gamemeca.com/grand_theft_auto_v","Rockstar Games","오픈월드 범죄 액션"
"7","(-)","스타듀밸리","https://trees.gamemeca.com/stardew_valley","ConcernedApe","전원생활 시뮬레이션"
"8","(+3)","잇 테이크 투","","Electronic Arts","액션"
"9","(-5)","테일즈 오브 어라이즈","","BANDAI NAMCO Entertainment","액션"
"10","(-1)","폴가이즈","","Devolver Digital","어드벤처"
"11","(-1)","이터널 리턴","","Nimble Neuron","전략 기반 서바이벌"
"12","(-)","더 심즈 4","https://trees.gamemeca.com/The_Sims_4","Electronic Arts","시뮬레이션"
"13","(+2)","하데스","","Supergiant Games","액션"
"14","(+23)","귀멸의 칼날 히노카미 혈풍담","","SEGA","액션"
"15","(+2)","어 댄스 오브 파이어 앤 아이스","","7th Beat Games","음악"
"16","(-3)","프로젝트 좀보이드","","The Indie Stone","RPG"
"17","(-3)","블레스 언리쉬드","","NEOWIZ","MMORPG"
"18","(-2)","레드 데드 리뎀션 2","https://trees.gamemeca.com/reddeadredemption2","Rockstar Games","액션"
"19","(-1)","데드 바이 데이라이트","https://trees.gamemeca.com/dead_by_daylight","Behaviour Digital Inc.","액션"
"20","(+19)","백 4 블러드","","Warner Bros. Games","액션"
"21","(-)","삼국지14","","KOEI TECMO GAMES CO., LTD.","시뮬레이션"
"22","(+1)","휴먼: 폴 플랫","https://trees.gamemeca.com/human_fall_flat","Curve Digital","퍼즐"
"23","(-1)","풋볼 매니저 2021","","SEGA","시뮬레이션"
"24","(-4)","문명6","https://trees.gamemeca.com/sid_meiers_civilization_vi","2K","전략"
"25","(-1)","철권 7","https://trees.gamemeca.com/tekken_7","","액션"
"26","(-1)","피파 21","","Electronic Arts","스포츠"
"27","(-1)","발하임","https://trees.gamemeca.com/valheim","Coffee Stain Publishing","오픈 월드 생존 크래프트"
"28","(-1)","그랜드 체이스","","KOG","액션"
"29","(-)","더 포레스트","https://trees.gamemeca.com/the_forest","Endnight Games Ltd","서바이벌"
"30","(-)","테라리아","https://trees.gamemeca.com/terraria","Re-Logic","롤플레잉"
"31","(-3)","포르자 호라이즌 4","","Xbox Game Studios","레이싱"
"32","(+4)","배틀필드 5","https://trees.gamemeca.com/Battlefield_V","Electronic Arts","액션"
"33","(-)","호라이즌 제로 던 컴플리트 에디션","","PlayStation Mobile, Inc.","오픈월드 액션 RPG"
"34","(-1)","디트로이트: 비컴 휴먼","https://trees.gamemeca.com/Detroit_Become_Human","Quantic Dream","액션"
"35","(+3)","데스 스트랜딩","","505 Games","액션"
"36","(-2)","몬스터헌터 스토리즈 2 파멸의 날개","","CAPCOM Co., Ltd.","롤플레잉"
"37","(-6)","데이즈 곤","","PlayStation Mobile, Inc.","서바이벌 호러"
"38","(-6)","톰 클랜시의 레인보우 식스 시즈","https://trees.gamemeca.com/tom_clancys_rainbow_6_siege","Ubisoft","FPS"
"39","(NEW)","엘든 링","","FromSoftware Inc., BANDAI NAMCO Entertainment","액션"
"40","(NEW)","미디블 다이너스티","","Toplitz Productions","액션"
