,rank,change,name,service,genre
0,1,(+1),전략적 팀 전투,"Riot Games, Inc",전략
1,2,(-1),A3: 스틸얼라이브,Netmarble,롤플레잉
2,3,(-),리니지2M,NCSOFT Corporation,롤플레잉
3,4,(-),ROBLOX,Roblox Corporation,어드벤처
4,5,(-),블레스 모바일,JOYCITY Corp.,롤플레잉
5,6,(+1),브롤스타즈,Supercell,액션
6,7,(+1),AFK 아레나,Lilith Games,롤플레잉
7,8,(-2),좀비고등학교,AWESOMEPIECE,아케이드
8,9,(-),리니지M,NCSOFT Corporation,롤플레잉
9,10,(-),V4,NEXON Company,롤플레잉
10,11,(-),달빛조각사,Kakao Games Corp.,롤플레잉
11,12,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
12,13,(+4),로드 오브 히어로즈,"Clover Games Co.,Ltd",롤플레잉
13,14,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
14,15,(-2),카운터사이드,NEXON Company,롤플레잉
15,16,(-1),메이플스토리M,NEXON Company,롤플레잉
16,17,(-1),라이즈 오브 킹덤즈,Lilith Games,전략
17,18,(+1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
18,19,(-1),배틀그라운드 모바일,PUBG CORPORATION,액션
19,20,(+2),포켓몬고,"Niantic, Inc.",어드벤처
20,21,(+2),리니지2 레볼루션,Netmarble,롤플레잉
21,22,(+3),라그나로크 택틱스,"GRAVITY Co., Ltd.",전략
22,23,(-3),테라 히어로,Red Sahara Studio Inc.,롤플레잉
23,24,(-3),카오스모바일,(주)엑스엔게임즈,롤플레잉
24,25,(+1),세븐나이츠 for kakao,Netmarble,롤플레잉
25,26,(-2),명일방주,Yostar Limited.,전략
26,27,(+11),에오스 레드,BluePotion Games,롤플레잉
27,28,(+2),제5인격,X.D. Global,어드벤처
28,29,(+4),이사만루3,GONGGAMES Corp.,스포츠
29,30,(+6),프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉
30,31,(-2),라스트오리진,smart joy,롤플레잉
31,32,(-5),랜덤 다이스,royaldice,전략
32,33,(-5),블레이드&소울 레볼루션,Netmarble,롤플레잉
33,34,(-),클래시 오브 클랜,Supercell,전략
34,35,(-3),모두의마블 for kakao,Netmarble,보드
35,36,(-1),클래시 로얄,Supercell,전략
36,37,(NEW),에픽세븐,Smilegate Megaport,롤플레잉
37,38,(NEW),궁수의 전설,Habby,액션
38,39,(NEW),원피스 트레저 크루즈,BANDAI NAMCO Entertainment Inc.,롤플레잉
39,40,(-1),랑그릿사,ZlongGames,전략
0,1,(-),전략적 팀 전투,"Riot Games, Inc",전략
1,2,(-),A3: 스틸얼라이브,Netmarble,롤플레잉
2,3,(-),리니지2M,NCSOFT Corporation,롤플레잉
3,4,(-),ROBLOX,Roblox Corporation,어드벤처
4,5,(+2),AFK 아레나,Lilith Games,롤플레잉
5,6,(-1),블레스 모바일,JOYCITY Corp.,롤플레잉
6,7,(+1),좀비고등학교,AWESOMEPIECE,아케이드
7,8,(-2),브롤스타즈,Supercell,액션
8,9,(-),리니지M,NCSOFT Corporation,롤플레잉
9,10,(-),V4,NEXON Company,롤플레잉
10,11,(-),달빛조각사,Kakao Games Corp.,롤플레잉
11,12,(+1),로드 오브 히어로즈,"Clover Games Co.,Ltd",롤플레잉
12,13,(+1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
13,14,(-2),검은사막 모바일,PEARL ABYSS,롤플레잉
14,15,(-),카운터사이드,NEXON Company,롤플레잉
15,16,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
16,17,(-1),메이플스토리M,NEXON Company,롤플레잉
17,18,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
18,19,(-),배틀그라운드 모바일,PUBG CORPORATION,액션
19,20,(-),포켓몬고,"Niantic, Inc.",어드벤처
20,21,(+1),라그나로크 택틱스,"GRAVITY Co., Ltd.",전략
21,22,(-1),리니지2 레볼루션,Netmarble,롤플레잉
22,23,(+4),에오스 레드,BluePotion Games,롤플레잉
23,24,(+2),명일방주,Yostar Limited.,전략
24,25,(+3),제5인격,X.D. Global,어드벤처
25,26,(+11),에픽세븐,Smilegate Megaport,롤플레잉
26,27,(+6),블레이드&소울 레볼루션,Netmarble,롤플레잉
27,28,(-5),테라 히어로,Red Sahara Studio Inc.,롤플레잉
28,29,(+3),랜덤 다이스,royaldice,전략
29,30,(-),프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉
30,31,(-),라스트오리진,smart joy,롤플레잉
31,32,(-3),이사만루3,GONGGAMES Corp.,스포츠
32,33,(+1),클래시 오브 클랜,Supercell,전략
33,34,(+2),클래시 로얄,Supercell,전략
34,35,(+4),원피스 트레저 크루즈,BANDAI NAMCO Entertainment Inc.,롤플레잉
35,36,(NEW),냥코 대전쟁,PONOS Corporation,캐주얼 게임
36,37,(+3),랑그릿사,ZlongGames,전략
37,38,(-),궁수의 전설,Habby,액션
38,39,(-4),모두의마블 for kakao,Netmarble,보드
39,40,(-15),세븐나이츠 for kakao,Netmarble,롤플레잉
0,1,(-),전략적 팀 전투,"Riot Games, Inc",전략
1,2,(-),A3: 스틸얼라이브,Netmarble,롤플레잉
2,3,(+6),리니지M,NCSOFT Corporation,롤플레잉
3,4,(+1),AFK 아레나,Lilith Games,롤플레잉
4,5,(-1),ROBLOX,Roblox Corporation,어드벤처
5,6,(-3),리니지2M,NCSOFT Corporation,롤플레잉
6,7,(-1),블레스 모바일,JOYCITY Corp.,롤플레잉
7,8,(-),브롤스타즈,Supercell,액션
8,9,(+1),V4,NEXON Company,롤플레잉
9,10,(-3),좀비고등학교,AWESOMEPIECE,아케이드
10,11,(NEW),라지엘,ZlongGames,롤플레잉
11,12,(-1),달빛조각사,Kakao Games Corp.,롤플레잉
12,13,(+3),라이즈 오브 킹덤즈,Lilith Games,전략
13,14,(-1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
14,15,(-3),로드 오브 히어로즈,"Clover Games Co.,Ltd",롤플레잉
15,16,(-2),검은사막 모바일,PEARL ABYSS,롤플레잉
16,17,(-2),카운터사이드,NEXON Company,롤플레잉
17,18,(-1),메이플스토리M,NEXON Company,롤플레잉
18,19,(-),배틀그라운드 모바일,PUBG CORPORATION,액션
19,20,(-),포켓몬고,"Niantic, Inc.",어드벤처
20,21,(-3),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
21,22,(-1),라그나로크 택틱스,"GRAVITY Co., Ltd.",전략
22,23,(-1),리니지2 레볼루션,Netmarble,롤플레잉
23,24,(+2),에픽세븐,Smilegate Megaport,롤플레잉
24,25,(-2),에오스 레드,BluePotion Games,롤플레잉
25,26,(+1),블레이드&소울 레볼루션,Netmarble,롤플레잉
26,27,(+2),랜덤 다이스,royaldice,전략
27,28,(-3),제5인격,X.D. Global,어드벤처
28,29,(-5),명일방주,Yostar Limited.,전략
29,30,(NEW),영주 : 백의 연대기,OASIS GAMES LIMITED,롤플레잉
30,31,(+9),세븐나이츠 for kakao,Netmarble,롤플레잉
31,32,(-2),프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉
32,33,(-2),라스트오리진,smart joy,롤플레잉
33,34,(-6),테라 히어로,Red Sahara Studio Inc.,롤플레잉
34,35,(-1),클래시 로얄,Supercell,전략
35,36,(-4),이사만루3,GONGGAMES Corp.,스포츠
36,37,(-4),클래시 오브 클랜,Supercell,전략
37,38,(+1),모두의마블 for kakao,Netmarble,보드
38,39,(NEW),마블 퓨처파이트,Netmarble,액션
39,40,(NEW),킹오파 익스트림 매치,ChangYou,롤플레잉
0,1,(-),전략적 팀 전투,"Riot Games, Inc",전략
1,2,(+1),리니지M,NCSOFT Corporation,롤플레잉
2,3,(+1),AFK 아레나,Lilith Games,롤플레잉
3,4,(+2),리니지2M,NCSOFT Corporation,롤플레잉
4,5,(-3),A3: 스틸얼라이브,Netmarble,롤플레잉
5,6,(-1),ROBLOX,Roblox Corporation,어드벤처
6,7,(+1),브롤스타즈,Supercell,액션
7,8,(+1),V4,NEXON Company,롤플레잉
8,9,(+2),라지엘,ZlongGames,롤플레잉
9,10,(-),좀비고등학교,AWESOMEPIECE,아케이드
10,11,(+1),달빛조각사,Kakao Games Corp.,롤플레잉
11,12,(-5),블레스 모바일,JOYCITY Corp.,롤플레잉
12,13,(-),라이즈 오브 킹덤즈,Lilith Games,전략
13,14,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
14,15,(+2),카운터사이드,NEXON Company,롤플레잉
15,16,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
16,17,(+2),배틀그라운드 모바일,PUBG CORPORATION,액션
17,18,(+2),포켓몬고,"Niantic, Inc.",어드벤처
18,19,(-1),메이플스토리M,NEXON Company,롤플레잉
19,20,(+1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
20,21,(+3),에픽세븐,Smilegate Megaport,롤플레잉
21,22,(NEW),케페우스M,Ujoy Games,롤플레잉
22,23,(-8),로드 오브 히어로즈,"Clover Games Co.,Ltd",롤플레잉
23,24,(-1),리니지2 레볼루션,Netmarble,롤플레잉
24,25,(+2),랜덤 다이스,royaldice,전략
25,26,(+4),영주 : 백의 연대기,OASIS GAMES LIMITED,롤플레잉
26,27,(+2),명일방주,Yostar Limited.,전략
27,28,(-),제5인격,X.D. Global,어드벤처
28,29,(-4),에오스 레드,BluePotion Games,롤플레잉
29,30,(-4),블레이드&소울 레볼루션,Netmarble,롤플레잉
30,31,(-),세븐나이츠 for kakao,Netmarble,롤플레잉
31,32,(-),프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉
32,33,(+6),마블 퓨처파이트,Netmarble,액션
33,34,(-1),라스트오리진,smart joy,롤플레잉
34,35,(-13),라그나로크 택틱스,"GRAVITY Co., Ltd.",전략
35,36,(-1),클래시 로얄,Supercell,전략
36,37,(-1),이사만루3,GONGGAMES Corp.,스포츠
37,38,(+2),킹오파 익스트림 매치,ChangYou,롤플레잉
38,39,(-5),테라 히어로,Red Sahara Studio Inc.,롤플레잉
39,40,(-2),모두의마블 for kakao,Netmarble,보드
0,1,(-),전략적 팀 전투,"Riot Games, Inc",전략
1,2,(-),리니지M,NCSOFT Corporation,롤플레잉
2,3,(-),AFK 아레나,Lilith Games,롤플레잉
3,4,(-),리니지2M,NCSOFT Corporation,롤플레잉
