,rank,change,name,service,genre
0,1,(-),블레이드&소울 레볼루션,Netmarble,롤플레잉
1,2,(-),리니지M,NCSOFT Corporation,롤플레잉
2,3,(-),브롤스타즈,Supercell,액션
3,4,(+2),오크: 전쟁의 서막,EFUN COMPANY,롤플레잉
4,5,(-1),리니지2 레볼루션,Netmarble Games,롤플레잉
5,6,(-1),배틀그라운드 모바일,PUBG CORPORATION,액션
6,7,(+5),포켓몬고,"NIANTIC, INC.",어드벤처
7,8,(-1),버닝: 매지컬소드,EYOUGAME INC.,롤플레잉
8,9,(-1),에픽세븐,SMILEGATE MEGAPORT,롤플레잉
9,10,(-),제5인격,X.D. GLOBAL,어드벤처
10,11,(-),프렌즈레이싱,KAKAO GAMES CORP.,자동차 경주
11,12,(+1),메이플스토리M,NEXON COMPANY,롤플레잉
12,13,(+1),모두의마블 for kakao,Netmarble,보드
13,14,(+1),세븐나이츠 for kakao,Netmarble,롤플레잉
14,15,(+3),냥코 대전쟁,PONOS Corporation,캐주얼 게임
15,16,(new),얼티밋 스쿨,X.D. GLOBAL,어드벤처
16,17,(-1),클래시 로얄,SUPERCELL,전략
17,18,(-9),다크에덴M,ENTERMATE,롤플레잉
18,19,(-),소녀전선,LONGCHENG LTD.,롤플레잉
19,20,(+2),라그나로크M: 영원한 사랑,LONGCHENG LTD.,롤플레잉
20,21,(+2),좀비고등학교,AWESOMEPIECE,아케이드
21,22,(+2),클래시 오브 클랜,SUPERCELL,전략
22,23,(-6),킹스레이드,VESPA INC.,롤플레잉
23,24,(-4),검은사막 모바일,PEARL ABYSS,롤플레잉
24,25,(-),마블 퓨처파이트,NETMARBLE GAMES,롤플레잉
25,26,(+4),서머너즈 워: 천공의 아레나,COM2US,롤플레잉
26,27,(-1),원피스 트레저 크루즈,BANDAI NAMCO ENTERTAINMENT INC.,롤플레잉
27,28,(+3),붕괴3rd,MIHOYO LIMITED,액션
28,29,(-1),포트리스M,APROGEN HEALTHCARE & GAMES INC.,액션
29,30,(new),아이러브니키 for kakao,KAKAO GAMES CORP.,시뮬레이션
30,31,(new),페이트 그랜드 오더,NETMARBLE GAMES,롤플레잉
31,32,(-11),외모지상주의,KAKAO GAMES CORP.,롤플레잉
0,1,(+1),리니지M,NCSOFT Corporation,롤플레잉
1,2,(-1),블레이드&소울 레볼루션,NETMARBLE,롤플레잉
2,3,(-),브롤스타즈,Supercell,액션
3,4,(+1),리니지2 레볼루션,Netmarble Games,롤플레잉
4,5,(+1),배틀그라운드 모바일,PUBG CORPORATION,액션
5,6,(+2),버닝: 매지컬소드,EYOUGAME INC.,롤플레잉
6,7,(+2),에픽세븐,SMILEGATE MEGAPORT,롤플레잉
7,8,(+2),제5인격,X.D. GLOBAL,어드벤처
8,9,(+3),메이플스토리M,NEXON COMPANY,롤플레잉
9,10,(+6),얼티밋 스쿨,X.D. GLOBAL,어드벤처
10,11,(+2),모두의마블 for kakao,Netmarble,보드
11,12,(-1),프렌즈레이싱,KAKAO GAMES CORP.,자동차경주
12,13,(+1),세븐나이츠 for kakao,Netmarble,롤플레잉
13,14,(-7),포켓몬고,"NIANTIC, INC.",어드벤처
14,15,(-),냥코 대전쟁,PONOS Corporation,캐주얼 게임
15,16,(-12),오크: 전쟁의 서막,EFUN COMPANY,롤플레잉
16,17,(-),클래시 로얄,SUPERCELL,전략
17,18,(+2),라그나로크M: 영원한 사랑,LONGCHENG LTD.,롤플레잉
18,19,(+2),좀비고등학교,AWESOMEPIECE,아케이드
19,20,(-1),소녀전선,LONGCHENG LTD.,롤플레잉
20,21,(new),레이븐,NETMARBLE GAMES,롤플레잉
21,22,(+3),마블 퓨처파이트,NETMARBLE GAMES,롤플레잉
22,23,(-5),다크에덴M,ENTERMATE,롤플레잉
23,24,(-2),클래시 오브 클랜,SUPERCELL,전략
24,25,(new),헬릭스 왈츠,NETMARBLE GAMES,롤플레잉
25,26,(-3),킹스레이드,VESPA INC.,롤플레잉
26,27,(-3),검은사막 모바일,PEARL ABYSS,롤플레잉
27,28,(-2),서머너즈 워: 천공의 아레나,COM2US,롤플레잉
28,29,(-2),원피스 트레저 크루즈,BANDAI NAMCO ENTERTAINMENT INC.,롤플레잉
29,30,(-2),붕괴3rd,MIHOYO LIMITED,액션
30,31,(-1),아이러브니키 for kakao,KAKAO GAMES CORP.,시뮬레이션
31,32,(-),외모지상주의,KAKAO GAMES CORP.,롤플레잉
0,1,(-),리니지M,NCSOFT Corporation,롤플레잉
1,2,(new),스피릿위시,NEXON Company,롤플레잉
2,3,(-1),블레이드&소울 레볼루션,NETMARBLE,롤플레잉
3,4,(-1),브롤스타즈,Supercell,액션
4,5,(-1),리니지2 레볼루션,Netmarble Games,롤플레잉
5,6,(new),헌드레드 소울,HOUND 13,롤플레잉
6,7,(-2),배틀그라운드 모바일,PUBG CORPORATION,액션
7,8,(-1),에픽세븐,SMILEGATE MEGAPORT,롤플레잉
8,9,(-1),제5인격,X.D. GLOBAL,어드벤처
9,10,(-),얼티밋 스쿨,X.D. GLOBAL,어드벤처
10,11,(-),모두의마블 for kakao,Netmarble,보드
11,12,(-3),메이플스토리M,NEXON COMPANY,롤플레잉
12,13,(+1),포켓몬고,"NIANTIC, INC.",어드벤처
13,14,(-2),프렌즈레이싱,KAKAO GAMES CORP.,자동차경주
14,15,(-),냥코 대전쟁,PONOS Corporation,캐주얼 게임
15,16,(-3),세븐나이츠 for kakao,Netmarble,롤플레잉
16,17,(-1),오크: 전쟁의 서막,EFUN COMPANY,롤플레잉
17,18,(+3),레이븐,NETMARBLE GAMES,롤플레잉
18,19,(new),헬릭스 왈츠,uBeeJoy,시뮬레이션
19,20,(-1),좀비고등학교,AWESOMEPIECE,아케이드
20,21,(-4),클래시 로얄,SUPERCELL,전략
21,22,(-),마블 퓨처파이트,NETMARBLE GAMES,롤플레잉
0,1,(-),리니지M,NCSOFT Corporation,롤플레잉
1,2,(-),스피릿위시,NEXON Company,롤플레잉
2,3,(-),블레이드&소울 레볼루션,NETMARBLE,롤플레잉
3,4,(-),브롤스타즈,Supercell,액션
4,5,(+1),헌드레드 소울,HOUND 13,롤플레잉
5,6,(new),라스트오리진,SmartJoy,롤플레잉
6,7,(-2),리니지2 레볼루션,PUBG CORPORATION,액션
7,8,(-),에픽세븐,SMILEGATE MEGAPORT,롤플레잉
