,column-1,column-1 2,column-3,column-4,column-5
0,1,(-),로스트아크,스마일게이트 STOVE,MMORPG
1,2,(-),리그 오브 레전드,라이엇 게임즈,AOS
2,3,(-),피파온라인4,NEXON COMPANY,스포츠
3,4,(-),메이플스토리,넥슨 코리아,롤플레잉
4,5,(-),카트라이더,NEXON COMPANY,자동차 경주
5,6,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
6,7,(-),던전앤파이터,넥슨 코리아,액션
7,8,(-),아스텔리아,NEXON COMPANY,롤플레잉
8,9,(-),서든어택,넥슨 코리아,FPS
9,10,(-),오버워치,블리자드,FPS
10,11,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
11,12,(-),리니지,엔씨소프트,롤플레잉
12,13,(-),포트나이트,네오위즈,RTS
13,14,(-),마인크래프트,모장,어드벤처
14,15,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
15,16,(+1),사이퍼즈,넥슨 코리아,액션
16,17,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
17,18,(+1),검은사막,카카오게임즈,롤플레잉
18,19,(+1),엘소드,넥슨 코리아,롤플레잉
19,20,(+1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
20,21,(-5),블레이드앤소울,엔씨소프트,롤플레잉
21,22,(+1),바람의나라,넥슨 코리아,롤플레잉
22,23,(-1),리니지2,엔씨소프트,롤플레잉
23,24,(-),배틀라이트,넥슨코리아,AOS
24,25,(-),마비노기 영웅전,넥슨 코리아,롤플레잉
25,26,(-),마비노기,넥슨 코리아,롤플레잉
26,27,(new),히어로즈 오브 더 스톰,"Blizzard Entertainment, Inc.",카드
27,28,(+1),월드 오브 워크래프트,블리자드,롤플레잉
28,29,(+1),클로저스,넥슨 코리아,액션
29,30,(+1),버블파이터,로두마니 스튜디오,캐주얼 게임
30,31,(+1),몬스터헌터 월드,"CAPCOM CO., LTD.",액션
31,32,(-4),스타크래프트: 브루드 워,블리자드 엔터테인먼트,RTS
0,1,(-),로스트아크,스마일게이트 STOVE,MMORPG
1,2,(-),리그 오브 레전드,라이엇 게임즈,AOS
2,3,(+1),메이플스토리,넥슨 코리아,롤플레잉
3,4,(-1),피파온라인4,NEXON COMPANY,스포츠
4,5,(-),카트라이더,NEXON COMPANY,자동차 경주
5,6,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
6,7,(-),던전앤파이터,넥슨 코리아,액션
7,8,(+1),서든어택,넥슨 코리아,FPS
8,9,(+1),오버워치,블리자드,FPS
9,10,(+1),천하제일상 거상,AK INTERACTIVE,롤플레잉
10,11,(+1),리니지,엔씨소프트,롤플레잉
11,12,(+2),마인크래프트,모장,어드벤처
12,13,(-5),아스텔리아,NEXON COMPANY,MMORPG
13,14,(+1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
14,15,(+6),블레이드앤소울,엔씨소프트,롤플레잉
15,16,(-3),포트나이트,네오위즈,RTS
16,17,(-1),사이퍼즈,넥슨 코리아,액션
17,18,(+2),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
18,19,(-2),아이온: 영원의 탑,엔씨소프트,롤플레잉
19,20,(-2),검은사막,카카오게임즈,롤플레잉
20,21,(-2),엘소드,넥슨 코리아,롤플레잉
21,22,(-),바람의나라,넥슨 코리아,롤플레잉
22,23,(-),리니지2,엔씨소프트,롤플레잉
23,24,(-),배틀라이트,넥슨코리아,AOS
24,25,(+1),마비노기,넥슨 코리아,롤플레잉
25,26,(-1),마비노기 영웅전,넥슨 코리아,롤플레잉
26,27,(new),라테일,액토즈소프트,롤플레잉
27,28,(+1),클로저스,넥슨 코리아,액션
28,29,(+1),버블파이터,로두마니 스튜디오,캐주얼 게임
