"column-1","column-1 2","column-2 href","rankimg src","column-3","column-4","column-5"
"1","(-)","https://trees.gamemeca.com/lineagem19","https://trees.gamemeca.com/data/monthlyrank/mobile/lineagem19.png","리니지M","NCSOFT Corporation","롤플레잉"
"2","(new)","https://trees.gamemeca.com/yumicell","https://trees.gamemeca.com/data/monthlyrank/mobile/yumicell.png","유미의 세포들 with NAVER WEBTOON","SUPERB CORP.","음악"
"3","(+2)","https://trees.gamemeca.com/burningm","https://trees.gamemeca.com/data/monthlyrank/mobile/burningm.png","버닝: 매지컬소드","EYOUGAME INC.","롤플레잉"
"4","(-2)","https://trees.gamemeca.com/id5","https://trees.gamemeca.com/data/monthlyrank/mobile/id5.png","제5인격","X.D. GLOBAL","어드벤처"
"5","(-2)","https://trees.gamemeca.com/epic7","https://trees.gamemeca.com/data/monthlyrank/mobile/epic7.png","에픽세븐","SMILEGATE MEGAPORT","롤플레잉"
"6","(new)","https://trees.gamemeca.com/gnss","https://trees.gamemeca.com/data/monthlyrank/mobile/gnss.png","창세기전 : 안타리아의 전쟁","KAKAO GAMES CORP.","롤플레잉"
"7","(-1)","https://trees.gamemeca.com/lineageii","https://trees.gamemeca.com/data/monthlyrank/mobile/lineageii.png","리니지2 레볼루션","Netmarble Games","롤플레잉"
"8","(new)","https://trees.gamemeca.com/fortressm","https://trees.gamemeca.com/data/monthlyrank/mobile/fortressm.png","포트리스M","APROGEN HEALTHCARE & GAMES INC.","액션"
"9","(-5)","https://trees.gamemeca.com/battlem","https://trees.gamemeca.com/data/monthlyrank/mobile/battlem.png","배틀그라운드 모바일","PUBG CORPORATION","액션"
"10","(-2)","https://trees.gamemeca.com/pokemongo","https://trees.gamemeca.com/data/monthlyrank/mobile/pokemongo.png","포켓몬고","Niantic, Inc.","어드벤처"
"11","(-2)","https://trees.gamemeca.com/sknights","https://trees.gamemeca.com/data/monthlyrank/mobile/sknights.png","세븐나이츠 for kakao","NETMARBLE GAMES","롤플레잉"
"12","(-5)","https://trees.gamemeca.com/modoomarblekakao","https://trees.gamemeca.com/data/monthlyrank/mobile/modoomarblekakao.png","모두의마블 for kakao","NETMARBLE GAMES","보드"
"13","(new)","https://trees.gamemeca.com/friendsracing","https://trees.gamemeca.com/data/monthlyrank/mobile/friendsracing.png","프렌즈레이싱","KAKAO GAMES CORP.","자동차 경주"
"14","(-2)","https://trees.gamemeca.com/maplem","https://trees.gamemeca.com/data/monthlyrank/mobile/maplem.png","메이플스토리M","NEXON Company","롤플레잉"
"15","(-5)","https://trees.gamemeca.com/triplesaos","https://trees.gamemeca.com/data/monthlyrank/mobile/triplesaos.png","트리플S","시그널앤코","롤플레잉"
"16","(new)","https://trees.gamemeca.com/monthidol","https://trees.gamemeca.com/data/monthlyrank/mobile/monthidol.png","월간아이돌 : 아이돌키우기","608FACTORY","시뮬레이션"
"17","(new)","https://trees.gamemeca.com/hogpotter","https://trees.gamemeca.com/data/monthlyrank/mobile/hogpotter.png","해리포터: 호그와트 미스터리","INC., JAM CITY","어드벤처"
"18","(-3)","https://trees.gamemeca.com/battlecatskr","https://trees.gamemeca.com/data/monthlyrank/mobile/battlecatskr.png","냥코 대전쟁","PONOS","캐주얼 게임"
"19","(-5)","https://trees.gamemeca.com/mherosgb","https://trees.gamemeca.com/data/monthlyrank/mobile/mherosgb.png","마블 퓨처파이트","NETMARBLE GAMES","롤플레잉"
"20","(-9)","https://trees.gamemeca.com/rom_aos","https://trees.gamemeca.com/data/monthlyrank/mobile/rom_aos.png","라그나로크M: 영원한 사랑","GRAVITY CO., LTD.","롤플레잉"
"21","(-2)","https://trees.gamemeca.com/aooni","https://trees.gamemeca.com/data/monthlyrank/mobile/aooni.png","좀비고등학교","AWESOMEPIECE","아케이드"
"22","(-9)","https://trees.gamemeca.com/snqx","https://trees.gamemeca.com/data/monthlyrank/mobile/snqx.png","소녀전선","LONGCHENG LTD.","롤플레잉"
"23","(-10)","https://trees.gamemeca.com/kingsraid","https://trees.gamemeca.com/data/monthlyrank/mobile/kingsraid.png","킹스레이드","Vespa Inc.","롤플레잉"
"24","(-7)","https://trees.gamemeca.com/clashroyale","https://trees.gamemeca.com/data/monthlyrank/mobile/clashroyale.png","클래시 로얄","Supercell","전략"
"25","(new)","https://trees.gamemeca.com/erantparty","https://trees.gamemeca.com/data/monthlyrank/mobile/erantparty.png","에란트: 헌터의 각성","X.D. GLOBAL","롤플레잉"
"26","(new)","https://trees.gamemeca.com/smon","https://trees.gamemeca.com/data/monthlyrank/mobile/smon.png","서머너즈 워: 천공의 아레나","COM2US","롤플레잉"
"27","(new)","https://trees.gamemeca.com/clashofclans","https://trees.gamemeca.com/data/monthlyrank/mobile/clashofclans.png","클래시 오브 클랜","SUPERCELL","전략"
"28","(new)","https://trees.gamemeca.com/muorigin2","https://trees.gamemeca.com/data/monthlyrank/mobile/muorigin2.png","뮤오리진2","WEBZEN INC.","롤플레잉"
"29","(-)","https://trees.gamemeca.com/bh3korea","https://trees.gamemeca.com/data/monthlyrank/mobile/bh3korea.png","붕괴3rd","miHoYo Limited","액션"
"30","(new)","https://trees.gamemeca.com/marvelbattleline","https://trees.gamemeca.com/data/monthlyrank/mobile/marvelbattleline.png","MARVEL 배틀라인","NEXON COMPANY","카드"
