"column-1","column-1 2","column-2","column-2 href","column-3","column-4"
"1","(-)","바람의나라 연","https://trees.gamemeca.com/baram_m","NEXON Company","롤플레잉"
"2","(-)","R2M","https://trees.gamemeca.com/r2m","Webzen Inc.","롤플레잉"
"3","(-)","ROBLOX","https://trees.gamemeca.com/roblox","Roblox Corporation","어드벤처"
"4","(-)","리니지M","https://trees.gamemeca.com/lineagem19","NCSOFT Corporation","롤플레잉"
"5","(+1)","카트라이더 러쉬플러스","https://trees.gamemeca.com/nexonkart","NEXON Company","자동차 경주"
"6","(+1)","라그나로크 오리진","https://trees.gamemeca.com/ragnarokorigin","GRAVITY Co., Ltd.","롤플레잉"
"7","(-2)","가디언 테일즈","https://trees.gamemeca.com/guardiantales","Kakao Games Corp.","롤플레잉"
"8","(NEW)","일루전 커넥트","https://trees.gamemeca.com/illusionc","ChangYou","롤플레잉"
"9","(+6)","검은사막 모바일","https://trees.gamemeca.com/blackdesertm","PEARL ABYSS","롤플레잉"
"10","(+1)","브롤스타즈","https://trees.gamemeca.com/brawlstars","Supercell","액션"
"11","(-1)","리니지2M","https://trees.gamemeca.com/lineage2m19","NCSOFT Corporation","롤플레잉"
"12","(-4)","V4","https://trees.gamemeca.com/v4kr","NEXON Company","롤플레잉"
"13","(-1)","그랑삼국","https://trees.gamemeca.com/snsgz2","YOUZU(SINGAPORE)PTE.LTD.","롤플레잉"
"14","(-1)","AFK 아레나","https://trees.gamemeca.com/hgame_gp","Lilith Games","롤플레잉"
"15","(-1)","전략적 팀 전투","https://trees.gamemeca.com/league","Riot Games, Inc","전략"
"16","(-7)","슬램덩크","https://trees.gamemeca.com/slamdunkmobile","DeNA HONG KONG LIMITED","스포츠"
"17","(-1)","마구마구 2020","https://trees.gamemeca.com/ma9bkr","Netmarble","스포츠"
"18","(+1)","일곱개의 대죄: 그랜드 크로스","https://trees.gamemeca.com/sevenguilty","Netmarble","롤플레잉"
"19","(NEW)","시노니스","https://trees.gamemeca.com/sinonisyz","YOOZOO GAMES KOREA CO., LTD.","롤플레잉"
"20","(-2)","피파 모바일","https://trees.gamemeca.com/fmk","NEXON Company","스포츠"
"21","(-1)","메이플스토리M","https://trees.gamemeca.com/maplem","NEXON Company","롤플레잉"
"22","(NEW)","동방불패 모바일","https://trees.gamemeca.com/dbbpm","Perfect World Korea","롤플레잉"
"23","(-)","에픽세븐","https://trees.gamemeca.com/epic7","Smilegate Megaport","롤플레잉"
"24","(-2)","라이즈 오브 킹덤즈","https://trees.gamemeca.com/rok","Lilith Games","전략"
"25","(-8)","A3: 스틸얼라이브","https://trees.gamemeca.com/a3","Netmarble","롤플레잉"
"26","(-5)","더 킹 오브 파이터즈 올스타","https://trees.gamemeca.com/kofallstar","Netmarble","롤플레잉"
"27","(-3)","포켓몬고","https://trees.gamemeca.com/pokemongo","Niantic, Inc.","어드벤처"
"28","(-2)","좀비고등학교","https://trees.gamemeca.com/aooni","AWESOMEPIECE","아케이드"
"29","(-1)","배틀그라운드 모바일","https://trees.gamemeca.com/battlem","PUBG CORPORATION","액션"
"30","(-3)","달빛조각사","https://trees.gamemeca.com/moonlight","Kakao Games Corp.","롤플레잉"
"31","(-2)","뮤 아크엔젤","https://trees.gamemeca.com/webzenmua","Webzen Inc.","롤플레잉"
"32","(-)","제5인격","https://trees.gamemeca.com/id5","X.D. Global","어드벤처"
"33","(-3)","냥코 대전쟁","https://trees.gamemeca.com/battlecatskr","PONOS Corporation","캐주얼 게임"
"34","(-3)","프린세스 커넥트! Re:Dive","https://trees.gamemeca.com/princessconnect","Kakao Games Corp.","롤플레잉"
"35","(-1)","리니지2 레볼루션","https://trees.gamemeca.com/lineageii","Netmarble","롤플레잉"
"36","(-3)","아이러브커피N","https://trees.gamemeca.com/franchise","NATRIS","시뮬레이션"
"37","(-2)","라스트오리진","https://trees.gamemeca.com/lastorigin","smart joy","롤플레잉"
"38","(-13)","스테리테일","https://trees.gamemeca.com/starrytale","4399 KOREA","롤플레잉"
"39","(-1)","랜덤 다이스","https://trees.gamemeca.com/royaldice","royaldice","전략"
"40","(NEW)","세븐나이츠 for kakao","https://trees.gamemeca.com/sknights","Netmarble","롤플레잉"
