"column-1","column-1 2","column-2 href","rankimg src","column-3","column-4","column-5"
"1","(-)","https://trees.gamemeca.com/lineagem19","https://trees.gamemeca.com/data/monthlyrank/mobile/lineagem19.png","리니지M","NCSOFT CORPORATION","롤플레잉"
"2","(-)","https://trees.gamemeca.com/brawlstars","https://trees.gamemeca.com/data/monthlyrank/mobile/brawlstars.png","브롤스타즈","Supercell","액션"
"3","(+3)","https://trees.gamemeca.com/battlem","https://trees.gamemeca.com/data/monthlyrank/mobile/battlem.png","배틀그라운드 모바일","PUBG CORPORATION","액션"
"4","(-)","https://trees.gamemeca.com/bnsmkr","https://trees.gamemeca.com/data/monthlyrank/mobile/bnsmkr.png","블레이드&소울 레볼루션","NETMARBLE","롤플레잉"
"5","(-2)","https://trees.gamemeca.com/lastorigin","https://trees.gamemeca.com/data/monthlyrank/mobile/lastorigin.png","라스트오리진","SMARTJOY","롤플레잉"
"6","(-1)","https://trees.gamemeca.com/spiritwish","https://trees.gamemeca.com/data/monthlyrank/mobile/spiritwish.png","스피릿위시","NEXON COMPANY","롤플레잉"
"7","(-)","https://trees.gamemeca.com/hundredsoul","https://trees.gamemeca.com/data/monthlyrank/mobile/hundredsoul.png","헌드레드 소울","HOUND 13","롤플레잉"
"8","(+1)","https://trees.gamemeca.com/lineageii","https://trees.gamemeca.com/data/monthlyrank/mobile/lineageii.png","리니지2 레볼루션","NETMARBLE GAMES","롤플레잉"
"9","(+2)","https://trees.gamemeca.com/id5","https://trees.gamemeca.com/data/monthlyrank/mobile/id5.png","제5인격","X.D. GLOBAL","어드벤처"
"10","(-2)","https://trees.gamemeca.com/herocantare","https://trees.gamemeca.com/data/monthlyrank/mobile/herocantare.png","히어로칸타레 with NAVER WEBTOON","NGEL GAMES CO.,LTD.","롤플레잉"
"11","(+1)","https://trees.gamemeca.com/epic7","https://trees.gamemeca.com/data/monthlyrank/mobile/epic7.png","에픽세븐","SMILEGATE MEGAPORT","롤플레잉"
"12","(+1)","https://trees.gamemeca.com/maplem","https://trees.gamemeca.com/data/monthlyrank/mobile/maplem.png","메이플스토리M","NEXON COMPANY","롤플레잉"
"13","(+1)","https://trees.gamemeca.com/pokemongo","https://trees.gamemeca.com/data/monthlyrank/mobile/pokemongo.png","포켓몬고","NIANTIC, INC.","어드벤처"
"14","(+1)","https://trees.gamemeca.com/modoomarblekakao","https://trees.gamemeca.com/data/monthlyrank/mobile/modoomarblekakao.png","모두의마블 for kakao","ETMARBLE GAMES","보드"
"15","(+2)","https://trees.gamemeca.com/battlecatskr","https://trees.gamemeca.com/data/monthlyrank/mobile/battlecatskr.png","냥코 대전쟁","PONOS","캐주얼 게임"
"16","(-)","https://trees.gamemeca.com/friendsracing","https://trees.gamemeca.com/data/monthlyrank/mobile/friendsracing.png","프렌즈레이싱","KAKAO GAMES CORP.","자동차경주"
"17","(-7)","https://trees.gamemeca.com/oakwar","https://trees.gamemeca.com/data/monthlyrank/mobile/oakwar.png","오크: 전쟁의 서막","EFUN COMPANY","롤플레잉"
"18","(+1)","https://trees.gamemeca.com/rom_aos","https://trees.gamemeca.com/data/monthlyrank/mobile/rom_aos.png","라그나로크M: 영원한 사랑","GRAVITY CO., LTD.","롤플레잉"
"19","(+1)","https://trees.gamemeca.com/aooni","https://trees.gamemeca.com/data/monthlyrank/mobile/aooni.png","좀비고등학교","AWESOMEPIECE","아케이드"
"20","(-2)","https://trees.gamemeca.com/ariel","https://trees.gamemeca.com/data/monthlyrank/mobile/ariel.png","아리엘","EYOUGAME INC.","롤플레잉"
"21","(-)","https://trees.gamemeca.com/snqx","https://trees.gamemeca.com/data/monthlyrank/mobile/snqx.png","소녀전선","LONGCHENG LTD.","롤플레잉"
"22","(+2)","https://trees.gamemeca.com/nikki","https://trees.gamemeca.com/data/monthlyrank/mobile/nikki.png","아이러브니키 for kakao","KAKAO GAMES CORP.","시뮬레이션"
"23","(-)","https://trees.gamemeca.com/clashroyale","https://trees.gamemeca.com/data/monthlyrank/mobile/clashroyale.png","클래시 로얄","SUPERCELL","전략"
"24","(-2)","https://trees.gamemeca.com/sknights","https://trees.gamemeca.com/data/monthlyrank/mobile/sknights.png","세븐나이츠 for kakao","NETMARBLE GAMES","롤플레잉"
"25","(+2)","https://trees.gamemeca.com/blackdesertm","https://trees.gamemeca.com/data/monthlyrank/mobile/blackdesertm.png","검은사막 모바일","PEARL ABYSS","롤플레잉"
"26","(-1)","https://trees.gamemeca.com/bh3korea","https://trees.gamemeca.com/data/monthlyrank/mobile/bh3korea.png","붕괴3rd","MIHOYO LIMITED","액션"
"27","(-1)","https://trees.gamemeca.com/fgok","https://trees.gamemeca.com/data/monthlyrank/mobile/fgok.png","페이트 그랜드 오더","NETMARBLE GAMES","롤플레잉"
"28","(new)","https://trees.gamemeca.com/gb","https://trees.gamemeca.com/data/monthlyrank/mobile/gb.png","쿠키런: 오븐브레이크","DEVSISTERS CORPORATION","아케이드"
"29","(new)","https://trees.gamemeca.com/mherosgb","https://trees.gamemeca.com/data/monthlyrank/mobile/mherosgb.png","마블 퓨처파이트","NETMARBLE GAMES","롤플레잉"
"30","(new)","https://trees.gamemeca.com/onepiecetresurecruisekr","https://trees.gamemeca.com/data/monthlyrank/mobile/onepiecetresurecruisekr.png","원피스 트레저 크루즈","BANDAI NAMCO ENTERTAINMENT INC.","롤플레잉"
"31","(-)","https://trees.gamemeca.com/kingsraid","https://trees.gamemeca.com/data/monthlyrank/mobile/kingsraid.png","킹스레이드","VESPA INC.","롤플레잉"
