,column-1,column-1 2,column-2,column-3,column-4
0,1,,PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,FPS
1,2,,Stardew Valley,ConcernedApe,롤플레잉
2,3,,Grand Theft Auto V,Rockstar Games,액션
3,4,,ONE PIECE: PIRATE WARRIORS 4,BANDAI NAMCO Entertainment,액션
4,5,,DOOM Eternal,Bethesda Softworks,액션
5,6,,ARK: Survival Evolved,Studio Wildcard,어드벤처
6,7,,삼국지14,"KOEI TECMO GAMES CO., LTD.",전략
7,8,,Red Dead Redemption 2,Rockstar Games,어드벤처
8,9,,Ori and the Will of the Wisps,Xbox Game Studios,액션
9,10,,Undertale,tobyfox,롤플레잉
10,11,,The Forest,Endnight Games Ltd,액션
11,12,,하우스 플리퍼,"Frozen District, PlayWay S.A.",시뮬레이션
12,13,,Raft,Axolot Games,어드벤처
13,14,,THE WITCHER 3: WILD HUNT - GAME OF THE YEAR EDITION,CD PROJEKT RED,롤플레잉
14,15,,Monster Hunter World: Iceborne,"CAPCOM Co., Ltd.",액션
15,16,,Terraria,Re-Logic,롤플레잉
16,17,,Assassin's Creed® Syndicate,Ubisoft,액션
17,18,,DARK SOULS™ III,"FromSoftware, Inc., BANDAI NAMCO Entertainment",롤플레잉
18,19,,Dead by Daylight,Behaviour Digital Inc.,액션
19,20,,썸썸 편의점,"TALESSHOP Co., Ltd.",어드벤처
20,21,,Jump King,Nexile,어드벤처
21,22,,Football Manager 2020,SEGA,시뮬레이션
22,23,,HALO: THE MASTER CHIEF COLLECTION,Xbox Game Studios,FPS
23,24,,Total War: THREE KINGDOMS - A World Betrayed,SEGA,전략
24,25,,Viscera Cleanup Detail,RuneStorm,시뮬레이션
25,26,,Don't Starve Together,Klei Entertainment,어드벤처
26,27,,Granblue Fantasy: Versus,"XSEED Games, Marvelous USA, Inc.",액션
27,28,,Wallpaper Engine,Wallpaper Engine Team,유틸리티
28,29,,Call of Duty®: WWII,Activision,FPS
29,30,,Far Cry® 5,Ubisoft,액션
