,week_num,level_0,rank,change,name,service,genre
0,185,0,1,(+1),전략적 팀 전투,"Riot Games, Inc",전략
1,185,1,2,(-1),A3: 스틸얼라이브,Netmarble,롤플레잉
2,185,2,3,(-),리니지2M,NCSOFT Corporation,롤플레잉
3,185,3,4,(-),ROBLOX,Roblox Corporation,어드벤처
4,185,4,5,(-),블레스 모바일,JOYCITY Corp.,롤플레잉
5,185,5,6,(+1),브롤스타즈,Supercell,액션
6,185,6,7,(+1),AFK 아레나,Lilith Games,롤플레잉
7,185,7,8,(-2),좀비고등학교,AWESOMEPIECE,아케이드
8,185,8,9,(-),리니지M,NCSOFT Corporation,롤플레잉
9,185,9,10,(-),V4,NEXON Company,롤플레잉
10,185,10,11,(-),달빛조각사,Kakao Games Corp.,롤플레잉
11,185,11,12,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
12,185,12,13,(+4),로드 오브 히어로즈,"Clover Games Co.,Ltd",롤플레잉
13,185,13,14,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
14,185,14,15,(-2),카운터사이드,NEXON Company,롤플레잉
15,185,15,16,(-1),메이플스토리M,NEXON Company,롤플레잉
16,185,16,17,(-1),라이즈 오브 킹덤즈,Lilith Games,전략
17,185,17,18,(+1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
18,185,18,19,(-1),배틀그라운드 모바일,PUBG CORPORATION,액션
19,185,19,20,(+2),포켓몬고,"Niantic, Inc.",어드벤처
20,184,20,1,(-),전략적 팀 전투,"Riot Games, Inc",전략
21,184,21,2,(-),A3: 스틸얼라이브,Netmarble,롤플레잉
22,184,22,3,(-),리니지2M,NCSOFT Corporation,롤플레잉
23,184,23,4,(-),ROBLOX,Roblox Corporation,어드벤처
24,184,24,5,(+2),AFK 아레나,Lilith Games,롤플레잉
25,184,25,6,(-1),블레스 모바일,JOYCITY Corp.,롤플레잉
26,184,26,7,(+1),좀비고등학교,AWESOMEPIECE,아케이드
27,184,27,8,(-2),브롤스타즈,Supercell,액션
28,184,28,9,(-),리니지M,NCSOFT Corporation,롤플레잉
29,184,29,10,(-),V4,NEXON Company,롤플레잉
30,184,30,11,(-),달빛조각사,Kakao Games Corp.,롤플레잉
31,184,31,12,(+1),로드 오브 히어로즈,"Clover Games Co.,Ltd",롤플레잉
32,184,32,13,(+1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
33,184,33,14,(-2),검은사막 모바일,PEARL ABYSS,롤플레잉
34,184,34,15,(-),카운터사이드,NEXON Company,롤플레잉
35,184,35,16,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
36,184,36,17,(-1),메이플스토리M,NEXON Company,롤플레잉
37,184,37,18,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
38,184,38,19,(-),배틀그라운드 모바일,PUBG CORPORATION,액션
39,184,39,20,(-),포켓몬고,"Niantic, Inc.",어드벤처
40,183,40,1,(-),전략적 팀 전투,"Riot Games, Inc",전략
41,183,41,2,(-),A3: 스틸얼라이브,Netmarble,롤플레잉
42,183,42,3,(+6),리니지M,NCSOFT Corporation,롤플레잉
43,183,43,4,(+1),AFK 아레나,Lilith Games,롤플레잉
44,183,44,5,(-1),ROBLOX,Roblox Corporation,어드벤처
45,183,45,6,(-3),리니지2M,NCSOFT Corporation,롤플레잉
46,183,46,7,(-1),블레스 모바일,JOYCITY Corp.,롤플레잉
47,183,47,8,(-),브롤스타즈,Supercell,액션
48,183,48,9,(+1),V4,NEXON Company,롤플레잉
49,183,49,10,(-3),좀비고등학교,AWESOMEPIECE,아케이드
50,183,50,11,(NEW),라지엘,ZlongGames,롤플레잉
51,183,51,12,(-1),달빛조각사,Kakao Games Corp.,롤플레잉
52,183,52,13,(+3),라이즈 오브 킹덤즈,Lilith Games,전략
53,183,53,14,(-1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
54,183,54,15,(-3),로드 오브 히어로즈,"Clover Games Co.,Ltd",롤플레잉
55,183,55,16,(-2),검은사막 모바일,PEARL ABYSS,롤플레잉
56,183,56,17,(-2),카운터사이드,NEXON Company,롤플레잉
57,183,57,18,(-1),메이플스토리M,NEXON Company,롤플레잉
58,183,58,19,(-),배틀그라운드 모바일,PUBG CORPORATION,액션
59,183,59,20,(-),포켓몬고,"Niantic, Inc.",어드벤처
60,182,60,1,(-),전략적 팀 전투,"Riot Games, Inc",전략
61,182,61,2,(+1),리니지M,NCSOFT Corporation,롤플레잉
62,182,62,3,(+1),AFK 아레나,Lilith Games,롤플레잉
63,182,63,4,(+2),리니지2M,NCSOFT Corporation,롤플레잉
64,182,64,5,(-3),A3: 스틸얼라이브,Netmarble,롤플레잉
65,182,65,6,(-1),ROBLOX,Roblox Corporation,어드벤처
66,182,66,7,(+1),브롤스타즈,Supercell,액션
67,182,67,8,(+1),V4,NEXON Company,롤플레잉
68,182,68,9,(+2),라지엘,ZlongGames,롤플레잉
69,182,69,10,(-),좀비고등학교,AWESOMEPIECE,아케이드
70,182,70,11,(+1),달빛조각사,Kakao Games Corp.,롤플레잉
71,182,71,12,(-5),블레스 모바일,JOYCITY Corp.,롤플레잉
72,182,72,13,(-),라이즈 오브 킹덤즈,Lilith Games,전략
73,182,73,14,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
74,182,74,15,(+2),카운터사이드,NEXON Company,롤플레잉
75,182,75,16,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
76,182,76,17,(+2),배틀그라운드 모바일,PUBG CORPORATION,액션
77,182,77,18,(+2),포켓몬고,"Niantic, Inc.",어드벤처
78,182,78,19,(-1),메이플스토리M,NEXON Company,롤플레잉
79,182,79,20,(+1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
80,181,80,1,(-),전략적 팀 전투,"Riot Games, Inc",전략
81,181,81,2,(-),리니지M,NCSOFT Corporation,롤플레잉
82,181,82,3,(-),AFK 아레나,Lilith Games,롤플레잉
83,181,83,4,(-),리니지2M,NCSOFT Corporation,롤플레잉
84,181,84,5,(-),A3: 스틸얼라이브,Netmarble,롤플레잉
85,181,85,6,(-),ROBLOX,Roblox Corporation,어드벤처
86,181,86,7,(-),브롤스타즈,Supercell,액션
87,181,87,8,(-),V4,NEXON Company,롤플레잉
88,181,88,9,(-),라지엘,ZlongGames,롤플레잉
89,181,89,10,(-),좀비고등학교,AWESOMEPIECE,아케이드
90,181,90,11,(-),달빛조각사,Kakao Games Corp.,롤플레잉
91,181,91,12,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
92,181,92,13,(+1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
93,181,93,14,(+3),배틀그라운드 모바일,PUBG CORPORATION,액션
94,181,94,15,(+3),포켓몬고,"Niantic, Inc.",어드벤처
95,181,95,16,(+6),케페우스M,Ujoy Games,롤플레잉
96,181,96,17,(-1),검은사막 모바일,PEARL ABYSS,롤플레잉
97,181,97,18,(+1),메이플스토리M,NEXON Company,롤플레잉
98,181,98,19,(-7),블레스 모바일,JOYCITY Corp.,롤플레잉
99,181,99,20,(+1),에픽세븐,Smilegate Megaport,롤플레잉
100,180,100,1,(NEW),카트라이더 러쉬플러스,NEXON Company,자동차 경주
101,180,101,2,(-),리니지M,NCSOFT Corporation,롤플레잉
102,180,102,3,(+1),리니지2M,NCSOFT Corporation,롤플레잉
103,180,103,4,(-3),전략적 팀 전투,"Riot Games, Inc",전략
104,180,104,5,(-2),AFK 아레나,Lilith Games,롤플레잉
105,180,105,6,(-1),A3: 스틸얼라이브,Netmarble,롤플레잉
106,180,106,7,(-),브롤스타즈,Supercell,액션
107,180,107,8,(-2),ROBLOX,Roblox Corporation,어드벤처
108,180,108,9,(-1),V4,NEXON Company,롤플레잉
109,180,109,10,(-1),라지엘,ZlongGames,롤플레잉
110,180,110,11,(NEW),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
111,180,111,12,(-2),좀비고등학교,AWESOMEPIECE,아케이드
112,180,112,13,(-1),라이즈 오브 킹덤즈,Lilith Games,전략
113,180,113,14,(-1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
114,180,114,15,(-),포켓몬고,"Niantic, Inc.",어드벤처
115,180,115,16,(-5),달빛조각사,Kakao Games Corp.,롤플레잉
116,180,116,17,(-3),배틀그라운드 모바일,PUBG CORPORATION,액션
117,180,117,18,(-2),케페우스M,Ujoy Games,롤플레잉
118,180,118,19,(+1),에픽세븐,Smilegate Megaport,롤플레잉
119,180,119,20,(-3),검은사막 모바일,PEARL ABYSS,롤플레잉
120,179,120,1,(-),카트라이더 러쉬플러스,NEXON Company,자동차 경주
121,179,121,2,(+1),리니지2M,NCSOFT Corporation,롤플레잉
122,179,122,3,(+1),전략적 팀 전투,"Riot Games, Inc",전략
123,179,123,4,(+3),브롤스타즈,Supercell,액션
124,179,124,5,(-),AFK 아레나,Lilith Games,롤플레잉
125,179,125,6,(+2),ROBLOX,Roblox Corporation,어드벤처
126,179,126,7,(-1),A3: 스틸얼라이브,Netmarble,롤플레잉
127,179,127,8,(-6),리니지M,NCSOFT Corporation,롤플레잉
128,179,128,9,(+2),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
129,179,129,10,(-1),V4,NEXON Company,롤플레잉
130,179,130,11,(+2),라이즈 오브 킹덤즈,Lilith Games,전략
131,179,131,12,(-),좀비고등학교,AWESOMEPIECE,아케이드
132,179,132,13,(+1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
