,Unnamed: 0,week_num,rank,column-1 2,name,company,type
0,0,185,1,(-),로스트아크,스마일게이트 STOVE,MMORPG
1,1,185,2,(-),리그 오브 레전드,라이엇 게임즈,AOS
2,2,185,3,(-),피파온라인4,NEXON COMPANY,스포츠
3,3,185,4,(-),메이플스토리,넥슨 코리아,롤플레잉
4,4,185,5,(-),카트라이더,NEXON COMPANY,자동차 경주
5,5,185,6,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
6,6,185,7,(-),던전앤파이터,넥슨 코리아,액션
7,7,185,8,(-),아스텔리아,NEXON COMPANY,롤플레잉
8,8,185,9,(-),서든어택,넥슨 코리아,FPS
9,9,185,10,(-),오버워치,블리자드,FPS
10,10,185,11,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
11,11,185,12,(-),리니지,엔씨소프트,롤플레잉
12,12,185,13,(-),포트나이트,네오위즈,RTS
13,13,185,14,(-),마인크래프트,모장,어드벤처
14,14,185,15,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
15,15,185,16,(+1),사이퍼즈,넥슨 코리아,액션
16,16,185,17,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
17,17,185,18,(+1),검은사막,카카오게임즈,롤플레잉
18,18,185,19,(+1),엘소드,넥슨 코리아,롤플레잉
19,19,185,20,(+1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
20,20,184,1,(-),로스트아크,스마일게이트 STOVE,MMORPG
21,21,184,2,(-),리그 오브 레전드,라이엇 게임즈,AOS
22,22,184,3,(+1),메이플스토리,넥슨 코리아,롤플레잉
23,23,184,4,(-1),피파온라인4,NEXON COMPANY,스포츠
24,24,184,5,(-),카트라이더,NEXON COMPANY,자동차 경주
25,25,184,6,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
26,26,184,7,(-),던전앤파이터,넥슨 코리아,액션
27,27,184,8,(+1),서든어택,넥슨 코리아,FPS
28,28,184,9,(+1),오버워치,블리자드,FPS
29,29,184,10,(+1),천하제일상 거상,AK INTERACTIVE,롤플레잉
30,30,184,11,(+1),리니지,엔씨소프트,롤플레잉
31,31,184,12,(+2),마인크래프트,모장,어드벤처
32,32,184,13,(-5),아스텔리아,NEXON COMPANY,MMORPG
33,33,184,14,(+1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
34,34,184,15,(+6),블레이드앤소울,엔씨소프트,롤플레잉
35,35,184,16,(-3),포트나이트,네오위즈,RTS
36,36,184,17,(-1),사이퍼즈,넥슨 코리아,액션
37,37,184,18,(+2),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
38,38,184,19,(-2),아이온: 영원의 탑,엔씨소프트,롤플레잉
39,39,184,20,(-2),검은사막,카카오게임즈,롤플레잉
40,40,183,1,(-),로스트아크,스마일게이트 STOVE,MMORPG
41,41,183,2,(-),리그 오브 레전드,라이엇 게임즈,AOS
42,42,183,3,(-),메이플스토리,넥슨 코리아,롤플레잉
43,43,183,4,(-),피파온라인4,NEXON COMPANY,스포츠
44,44,183,5,(-),카트라이더,NEXON COMPANY,스포츠
45,45,183,6,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
46,46,183,7,(-),던전앤파이터,넥슨 코리아,액션
47,47,183,8,(-),서든어택,넥슨 코리아,FPS
48,48,183,9,(+3),마인크래프트,모장,어드벤처
49,49,183,10,(-1),오버워치,블리자드,FPS
50,50,183,11,(-1),천하제일상 거상,AK INTERACTIVE,롤플레잉
51,51,183,12,(-1),리니지,엔씨소프트,롤플레잉
52,52,183,13,(+1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
53,53,183,14,(+1),블레이드앤소울,엔씨소프트,롤플레잉
54,54,183,15,(+2),사이퍼즈,넥슨 코리아,액션
