,Unnamed: 0.1,Unnamed: 0,week_num,rank,column-1 2,name,company,type
0,0,0,0,1,,플레이어언노운스 배틀그라운드,PUBG Corporation,FPS
1,1,1,0,2,,스타듀밸리,ConcernedApe,롤플레잉
2,2,2,0,3,,Grand Theft Auto V,Rockstar Games,액션
3,3,3,0,4,,ONE PIECE: PIRATE WARRIORS 4,BANDAI NAMCO Entertainment,액션
4,4,4,0,5,,DOOM Eternal,Bethesda Softworks,액션
5,5,5,0,6,,ARK: Survival Evolved,Studio Wildcard,어드벤처
6,6,6,0,7,,삼국지14,"KOEI TECMO GAMES CO., LTD.",전략
7,7,7,0,8,,Red Dead Redemption 2,Rockstar Games,어드벤처
8,8,8,0,9,,Ori and the Will of the Wisps,Xbox Game Studios,액션
9,9,9,0,10,,Undertale,tobyfox,롤플레잉
10,10,10,0,11,,The Forest,Endnight Games Ltd,액션
11,11,11,0,12,,하우스 플리퍼,"Frozen District, PlayWay S.A.",시뮬레이션
12,12,12,0,13,,Raft,Axolot Games,어드벤처
13,13,13,0,14,,THE WITCHER 3: WILD HUNT - GAME OF THE YEAR EDITION,CD PROJEKT RED,롤플레잉
14,14,14,0,15,,Monster Hunter World: Iceborne,"CAPCOM Co., Ltd.",액션
15,15,15,0,16,,Terraria,Re-Logic,롤플레잉
16,16,16,0,17,,Assassin's Creed® Syndicate,Ubisoft,액션
17,17,17,0,18,,DARK SOULS™ III,"FromSoftware, Inc., BANDAI NAMCO Entertainment",롤플레잉
18,18,18,0,19,,Dead by Daylight,Behaviour Digital Inc.,액션
19,19,19,0,20,,썸썸 편의점,"TALESSHOP Co., Ltd.",어드벤처
20,20,20,1,1,(-),플레이어언노운스 배틀그라운드,PUBG Corporation,FPS
21,21,21,1,2,(-),스타듀밸리,ConcernedApe,롤플레잉
22,22,22,1,3,(NEW),콜 오브 듀티 어드벤스드 워페어,2K,FPS
23,23,23,1,4,(-1),GTA5,Rockstar Games,액션
24,24,24,1,5,(-1),원피스: 해적무쌍 4,BANDAI NAMCO Entertainment,액션
25,25,25,1,6,(-1),둠 이터널,Bethesda Softworks,액션
26,26,26,1,7,(NEW),톰 클랜시 레인보우 식스 시즈,Ubisoft,FPS
27,27,27,1,8,(-1),삼국지 14,"KOEI TECMO GAMES CO., LTD.",전략
28,28,28,1,9,(-3),아크: 서바이벌 이볼브드,Studio Wildcard,어드벤처
29,29,29,1,9,(NEW),NBA 2K20,2K,스포츠
30,30,30,1,11,(-3),레드 데드 리뎀션 2,Rockstar Games,액션
31,31,31,1,12,(NEW),슈퍼 버니 맨,Catobyte Ltd,액션
32,32,32,1,13,(-3),언더테일,tobyfox,롤플레잉
33,33,33,1,14,(-5),오리와 도깨비불,Xbox Game Studios,액션
34,34,34,1,15,(NEW),보더랜드 3,2K,롤플레잉
35,35,35,1,16,(NEW),파운데이션,Polymorph Games,전략
36,36,36,1,17,(NEW),문명 6,2K,전략
37,37,37,1,18,(-6),더 포레스트,Endnight Games Ltd,서바이벌
38,38,38,1,19,(-6),철권 7,BANDAI NAMCO Entertainment,액션
39,39,39,1,20,(NEW),시티즈: 스카이 라인,Paradox Interactive,시뮬레이션
40,40,40,2,1,(-),플레이어언노운스 배틀그라운드,PUBG Corporation,FPS
41,41,41,2,2,(NEW),히트맨- GAME OF THE YEAR EDITION,Io-Interactive A/S,액션
