rank,rank_change,app_name,publisher_name,google_rank,apple_rank,onestore_rank
1,0,리니지M,NCSOFT,1.0,1.0,
2,0,리니지2M,NCSOFT,2.0,10.0,
3,0,기적의 검,4399 KOREA,3.0,15.0,9.0
4,0,쿠키런: 킹덤,Devsisters Corporation,5.0,2.0,11.0
5,0,세븐나이츠2,Netmarble,4.0,12.0,
6,0,미르4,"Wemade Co., Ltd",25.0,22.0,1.0
7,0,삼국지 전략판,Qookka Games,8.0,6.0,3.0
8,0,V4,NEXON Company,6.0,9.0,
9,0,바람의나라: 연,NEXON Company,12.0,7.0,4.0
10,0,그랑사가,NPIXEL,7.0,5.0,
11,0,DK모바일: 영웅의귀환,NTRANCE Corp,21.0,,2.0
12,0,원펀맨: 최강의 남자,GAMENOW TECHNOLOGY,9.0,8.0,
13,0,이카루스 이터널,LINE Games,14.0,27.0,5.0
14,0,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,18.0,17.0,8.0
15,0,라이즈 오브 킹덤즈,LilithGames,10.0,13.0,
16,0,뮤 아크엔젤,Webzen Inc.,11.0,24.0,
17,0,R2M,Webzen Inc.,13.0,59.0,
18,0,블레이드&소울 레볼루션,Netmarble,15.0,20.0,
19,0,리니지2 레볼루션,Netmarble,16.0,18.0,
20,0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,39.0,4.0,7.0
21,0,A3: 스틸얼라이브,Netmarble,17.0,26.0,
22,0,ROBLOX,Roblox Corporation,19.0,80.0,
23,0,페이트/그랜드 오더,Netmarble,20.0,77.0,
24,0,메이플스토리M,NEXON Company,23.0,14.0,
25,0,카트라이더 러쉬플러스,NEXON Company,30.0,3.0,
26,0,원신,miHoYo Limited,22.0,31.0,
27,0,배틀그라운드,"KRAFTON, Inc.",26.0,16.0,
28,0,라그나로크 오리진,"GRAVITY Co., Ltd.",41.0,30.0,10.0
29,0,명일방주,Yostar Limited.,29.0,96.0,34.0
30,0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,28.0,28.0,60.0
31,0,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,24.0,76.0,
32,0,로드 오브 히어로즈,CloverGames,27.0,53.0,
33,0,검은강호2: 선미 원픽 MMORPG,9SplayDeveloper,31.0,70.0,33.0
34,0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,33.0,25.0,38.0
35,0,Age of Z Origins (에이지 오브 제트),Camel Games Limited,36.0,35.0,24.0
36,0,삼국지M,Efun Company,133.0,48.0,6.0
37,0,찐삼국,ICEBIRD GAMES,42.0,,16.0
38,0,블리치: 만해의 길,DAMO NETWORK LIMITED,53.0,21.0,13.0
39,0,갑부: 장사의 시대,BLANCOZONE NETWORK KOREA,44.0,19.0,21.0
40,0,브롤스타즈,Supercell,32.0,40.0,
41,0,가디언 테일즈,Kakao Games Corp.,34.0,39.0,
42,0,그랑삼국,YOUZU(SINGAPORE)PTE.LTD.,58.0,58.0,14.0
43,0,Pokémon GO,"Niantic, Inc.",37.0,34.0,
44,0,프린세스 커넥트! Re:Dive,Kakao Games Corp.,35.0,71.0,
45,0,AFK 아레나,LilithGames,38.0,33.0,
46,0,에오스 레드,BluePotion Games,48.0,,20.0
47,0,한게임 포커,NHN BIGFOOT,47.0,65.0,26.0
48,0,라이즈 오브 엠파이어,Long Tech Network Limited,66.0,64.0,17.0
49,0,사신키우기 온라인 : 시즌2 무한의성장,DAERISOFT,61.0,,15.0
50,0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,99.0,50.0,12.0
51,0,꿈의 정원 (Gardenscapes),Playrix,40.0,41.0,
52,0,궁3D,WISH INTERACTIVE TECHNOLOGY LIMITED,84.0,38.0,18.0
53,0,Top War: Battle Game,Topwar Studio,43.0,45.0,
54,0,건쉽배틀 토탈워페어,JOYCITY Corp.,52.0,66.0,35.0
55,0,황제라 칭하라,"Clicktouch Co., Ltd.",59.0,44.0,30.0
56,0,달빛조각사,Kakao Games Corp.,56.0,56.0,32.0
57,0,컴투스프로야구2021,Com2uS,46.0,47.0,
58,0,에픽세븐,Smilegate Megaport,45.0,54.0,
59,0,FIFA Mobile,NEXON Company,50.0,29.0,
60,0,꿈의 집 (Homescapes),Playrix,49.0,37.0,
61,0,크레센트,Eyougame Inc.,69.0,57.0,39.0
62,0,쾌남본좌,R2 Games Asia,60.0,,37.0
63,0,라스트 쉘터: 서바이벌,Long Tech Network Limited,122.0,86.0,19.0
64,0,마피아42,TEAM42,120.0,42.0,23.0
65,0,황제의 꿈,37GAMES.AISA,94.0,,22.0
66,0,검은사막 모바일,PEARL ABYSS,57.0,55.0,64.0
67,0,슬램덩크,DeNA HONG KONG LIMITED,112.0,36.0,29.0
68,0,마피아 시티,YottaGame,64.0,93.0,53.0
69,0,일곱 개의 대죄: GRAND CROSS,Netmarble,51.0,68.0,
70,0,서머너즈 워: 천공의 아레나,Com2uS,55.0,52.0,
71,0,삼국지 오리진,R2 Games Asia,101.0,69.0,36.0
72,0,스테리테일,4399 KOREA,78.0,102.0,50.0
73,0,로드 모바일: 타워 디펜스,IGG.COM,54.0,88.0,
74,0,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,85.0,99.0,46.0
75,0,한게임포커 클래식 with PC,NHN Corp.,62.0,,67.0
76,0,King of Avalon: 영토 전쟁,Century Games Limited,106.0,259.0,28.0
77,0,삼국지Global,4399 KOREA,81.0,73.0,57.0
78,0,케페우스M,Ujoy Games,82.0,145.0,49.0
79,0,동물의 숲 포켓 캠프,"Nintendo Co., Ltd.",126.0,11.0,
80,0,모두의마블,Netmarble,96.0,46.0,48.0
81,0,하스스톤,"Blizzard Entertainment, Inc.",63.0,67.0,
82,0,카이로스 : 어둠을 밝히는 자,Longtu Korea Inc.,77.0,,56.0
83,0,리치리치,U.LU Games,97.0,79.0,45.0
84,0,마구마구 2021,Netmarble,75.0,32.0,
85,0,랜덤 다이스(Random Dice): PvP 디펜스,111%,72.0,49.0,
86,0,킹덤 : 전쟁의 불씨,파우게임즈,89.0,,47.0
87,0,캔디크러쉬사가,King,68.0,75.0,
88,0,라이프애프터,X.D. Global,71.0,60.0,
89,0,세븐나이츠,Netmarble,70.0,78.0,
90,0,뮤오리진2,Webzen Inc.,65.0,190.0,
91,0,Guns of Glory: 철가면,Century Games Limited,100.0,156.0,52.0
92,0,eFootball PES 2021,KONAMI,80.0,51.0,
93,0,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,67.0,,
94,0,한게임 섯다,NHN BIGFOOT,107.0,61.0,65.0
95,0,붕괴3rd,miHoYo Limited,73.0,98.0,
96,0,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,83.0,91.0,144.0
97,0,프로야구 H2,NCSOFT,304.0,170.0,25.0
98,0,카운터사이드,NEXON Company,74.0,135.0,
99,0,라그나로크: 라비린스,"GRAVITY Co., Ltd.",76.0,144.0,
100,0,리니지M(12),NCSOFT,123.0,23.0,
101,0,팬덤시티 - 실사풍 미녀 게임,nxu inc.,131.0,,43.0
102,0,던전기사 키우기: 3D 방치형 RPG,mobirix,79.0,,
103,0,좀비고등학교,AWESOMEPIECE,87.0,140.0,192.0
104,0,클래시 오브 클랜,Supercell,105.0,43.0,
105,0,에브리타운,FLERO Games,186.0,209.0,40.0
106,0,데스티니 차일드,SHIFTUP,86.0,152.0,
107,0,킹스레이드,Vespa Inc.,127.0,107.0,62.0
108,0,MLB 9이닝스 21,Com2uS,92.0,83.0,
109,0,원피스 트레저 크루즈,BANDAI NAMCO Entertainment Inc.,93.0,84.0,
110,0,레알팜 : 진짜 농산물 주는 게임,NEOGAMES,293.0,,31.0
111,0,클론다이크 어드벤처,VIZOR APPS LTD.,90.0,113.0,
112,0,십이지천M,NTORI,171.0,,42.0
113,0,아르카 - 2주년 이벤트 진행 중,GAMELAND(HK),108.0,242.0,80.0
114,0,랑그릿사,ZlongGames,91.0,134.0,
115,0,동방불패 모바일,Perfect World Korea,157.0,119.0,54.0
116,0,라스트오리진,SmartJoy,,,27.0
117,0,IDLE ANGELS : 여신전쟁,Neojoy Games,103.0,,92.0
118,0,컴투스프로야구매니저,Com2uS,260.0,125.0,41.0
119,0,관우 키우기 - 국산 삼국지 방치형 RPG,mobirix,88.0,,
120,0,피쉬돔 (Fishdom),Playrix,98.0,120.0,
121,0,캐리비안의 해적: 전쟁의 물결,JOYCITY Corp.,151.0,204.0,55.0
122,0,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",117.0,62.0,
123,0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,102.0,142.0,218.0
124,0,애니팡4,"SUNDAYTOZ, INC",115.0,115.0,137.0
125,0,에이스 디펜더: 드래곤 슬레이어 전쟁,ACE GAME INTERNATIONAL LIMITED,95.0,,
126,0,강호:극,"Scene Stealer Co., Ltd.",121.0,,79.0
127,0,MARVEL 퓨처파이트,Netmarble,113.0,111.0,
128,0,애니팡3,"SUNDAYTOZ, INC",116.0,191.0,155.0
129,0,꿈의 마을 (Township),Playrix,109.0,131.0,
130,0,벽람항로,X.D. Global,104.0,217.0,
131,0,레이븐 : LEGION,Netmarble,114.0,129.0,
132,0,엑소스 히어로즈,LINE Games,111.0,181.0,
133,0,포트리스M,PangSky,144.0,205.0,75.0
