rank,rank_change,app_name,publisher_name,google_rank,apple_rank,onestore_rank
1,0.0,리니지2M,NCSOFT,1.0,1.0,
2,0.0,리니지M,NCSOFT,2.0,2.0,
3,0.0,라이즈 오브 킹덤즈,LilithGames,3.0,3.0,
4,0.0,기적의 검,4399 KOREA,5.0,6.0,2.0
5,0.0,V4,NEXON Company,4.0,5.0,
6,0.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,11.0,4.0,3.0
7,0.0,블레이드&소울 레볼루션,Netmarble,6.0,9.0,
8,0.0,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,48.0,140.0,1.0
9,0.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,8.0,26.0,23.0
10,0.0,리니지2 레볼루션,Netmarble,7.0,8.0,
11,0.0,샤이닝라이트,Eyougame Inc.,10.0,17.0,8.0
12,0.0,검은사막 모바일,PEARL ABYSS,12.0,11.0,37.0
13,0.0,페이트/그랜드 오더,Netmarble,9.0,24.0,
14,0.0,바람의전쟁: 뇌명천하,4399 KOREA,14.0,18.0,14.0
15,0.0,모두의마블,Netmarble,23.0,10.0,13.0
16,0.0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,39.0,14.0,6.0
17,0.0,달빛조각사,Kakao Games Corp.,25.0,27.0,9.0
18,0.0,라스트 쉘터: 서바이벌,Long Tech Network Limited,46.0,30.0,5.0
19,0.0,라플라스M,ZlongGames,17.0,12.0,
20,0.0,에오스 레드,BluePotion Games,13.0,,
21,0.0,황제라 칭하라,"Clicktouch Co., Ltd.",28.0,15.0,32.0
22,0.0,메이플스토리M,NEXON Company,21.0,7.0,
23,0.0,랑그릿사,ZlongGames,15.0,35.0,
24,0.0,한게임 포커,NHN BIGFOOT,16.0,36.0,
25,0.0,브롤스타즈,Supercell,19.0,25.0,
26,0.0,컴투스프로야구2021,Com2uS,18.0,34.0,
27,0.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,27.0,13.0,
28,0.0,꿈의 정원 (Gardenscapes),Playrix,24.0,23.0,
29,0.0,신강호,LE TUI Network Technology CO.，LTD.,42.0,,10.0
30,0.0,서머너즈 워: 천공의 아레나,Com2uS,22.0,32.0,
1,0.0,리니지2M,NCSOFT,1.0,1.0,
2,0.0,리니지M,NCSOFT,2.0,2.0,
3,0.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,9.0,3.0,1.0
4,0.0,라이즈 오브 킹덤즈,LilithGames,3.0,4.0,
5,0.0,V4,NEXON Company,4.0,5.0,
6,0.0,기적의 검,4399 KOREA,5.0,6.0,4.0
7,0.0,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,60.0,147.0,2.0
8,0.0,샤이닝라이트,Eyougame Inc.,8.0,14.0,6.0
9,0.0,블레이드&소울 레볼루션,Netmarble,6.0,10.0,
10,0.0,리니지2 레볼루션,Netmarble,7.0,11.0,
11,0.0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,25.0,7.0,3.0
12,0.0,검은사막 모바일,PEARL ABYSS,12.0,13.0,27.0
13,0.0,바람의전쟁: 뇌명천하,4399 KOREA,14.0,19.0,11.0
14,0.0,페이트/그랜드 오더,Netmarble,10.0,27.0,
15,0.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,11.0,38.0,38.0
16,0.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,15.0,8.0,
17,0.0,모두의마블,Netmarble,24.0,15.0,17.0
18,0.0,황제라 칭하라,"Clicktouch Co., Ltd.",22.0,16.0,21.0
19,0.0,배틀그라운드,"KRAFTON, Inc.",17.0,12.0,
20,0.0,엑소스 히어로즈,LINE Games,16.0,20.0,
21,0.0,메이플스토리M,NEXON Company,21.0,9.0,
22,0.0,에오스 레드,BluePotion Games,13.0,,
23,0.0,라스트 쉘터: 서바이벌,Long Tech Network Limited,34.0,37.0,9.0
24,0.0,달빛조각사,Kakao Games Corp.,29.0,25.0,12.0
25,0.0,브롤스타즈,Supercell,18.0,26.0,
26,0.0,라플라스M,ZlongGames,23.0,18.0,
27,0.0,꿈의 정원 (Gardenscapes),Playrix,20.0,24.0,
28,0.0,신강호,LE TUI Network Technology CO.，LTD.,37.0,,8.0
29,0.0,한게임 포커,NHN BIGFOOT,19.0,43.0,
30,0.0,서머너즈 워: 천공의 아레나,Com2uS,28.0,33.0,
1,0.0,리니지2M,NCSOFT,1.0,1.0,
2,0.0,리니지M,NCSOFT,2.0,6.0,
3,0.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,9.0,2.0,1.0
4,0.0,라이즈 오브 킹덤즈,LilithGames,3.0,5.0,
5,0.0,기적의 검,4399 KOREA,5.0,7.0,3.0
6,0.0,V4,NEXON Company,4.0,3.0,
7,0.0,리니지2 레볼루션,Netmarble,7.0,8.0,
8,0.0,명일방주,Yostar Limited.,6.0,12.0,
9,0.0,샤이닝라이트,Eyougame Inc.,10.0,20.0,6.0
10,0.0,블레이드&소울 레볼루션,Netmarble,8.0,9.0,
11,0.0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,22.0,13.0,4.0
12,0.0,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,65.0,146.0,2.0
13,0.0,메이플스토리M,NEXON Company,11.0,4.0,
14,0.0,바람의전쟁: 뇌명천하,4399 KOREA,13.0,19.0,13.0
15,0.0,검은사막 모바일,PEARL ABYSS,12.0,14.0,43.0
16,0.0,라플라스M,ZlongGames,14.0,10.0,
17,0.0,브롤스타즈,Supercell,15.0,16.0,
18,0.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,20.0,11.0,
19,0.0,랑그릿사,ZlongGames,17.0,21.0,
20,0.0,황제라 칭하라,"Clicktouch Co., Ltd.",27.0,18.0,22.0
21,0.0,라스트 쉘터: 서바이벌,Long Tech Network Limited,41.0,37.0,7.0
22,0.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,19.0,49.0,62.0
23,0.0,엑소스 히어로즈,LINE Games,18.0,26.0,
24,0.0,배틀그라운드,"KRAFTON, Inc.",23.0,17.0,
25,0.0,에오스 레드,BluePotion Games,16.0,,
26,0.0,꿈의 정원 (Gardenscapes),Playrix,21.0,25.0,
27,0.0,달빛조각사,Kakao Games Corp.,35.0,28.0,15.0
28,0.0,Idle Heroes - 아이들 히어로즈,DHGAMES,25.0,32.0,51.0
29,0.0,엘프:드래곤소환사,Gamepub,30.0,45.0,26.0
30,0.0,신강호,LE TUI Network Technology CO.，LTD.,42.0,,9.0
1,0.0,리니지2M,NCSOFT,1.0,1.0,
2,0.0,리니지M,NCSOFT,2.0,2.0,
3,0.0,라이즈 오브 킹덤즈,LilithGames,3.0,5.0,
4,0.0,기적의 검,4399 KOREA,4.0,7.0,2.0
5,0.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,10.0,3.0,1.0
6,0.0,V4,NEXON Company,5.0,6.0,
7,0.0,명일방주,Yostar Limited.,6.0,17.0,
8,0.0,블레이드&소울 레볼루션,Netmarble,7.0,11.0,
9,0.0,브롤스타즈,Supercell,8.0,12.0,
10,0.0,리니지2 레볼루션,Netmarble,9.0,9.0,
11,0.0,메이플스토리M,NEXON Company,11.0,4.0,
12,0.0,샤이닝라이트,Eyougame Inc.,15.0,22.0,8.0
13,0.0,바람의전쟁: 뇌명천하,4399 KOREA,16.0,15.0,12.0
14,0.0,검은사막 모바일,PEARL ABYSS,14.0,13.0,30.0
15,0.0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,32.0,16.0,4.0
16,0.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,18.0,8.0,77.0
17,0.0,랑그릿사,ZlongGames,12.0,33.0,
18,0.0,붕괴3rd,miHoYo Limited,13.0,30.0,
19,0.0,라플라스M,ZlongGames,17.0,19.0,
20,0.0,황제라 칭하라,"Clicktouch Co., Ltd.",29.0,14.0,21.0
21,0.0,배틀그라운드,"KRAFTON, Inc.",21.0,18.0,
22,0.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,27.0,10.0,
23,0.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,26.0,35.0,41.0
24,0.0,소녀전선,X.D. Global,19.0,96.0,
25,0.0,서머너즈 워: 천공의 아레나,Com2uS,22.0,29.0,
26,0.0,뮤오리진2,Webzen Inc.,20.0,104.0,
27,0.0,로한M,PLAYWITH Inc.,56.0,220.0,5.0
28,0.0,컴투스프로야구2021,Com2uS,25.0,42.0,
29,0.0,라스트 쉘터: 서바이벌,Long Tech Network Limited,46.0,57.0,10.0
30,0.0,삼국지M,Efun Company,136.0,36.0,3.0
1,0.0,리니지2M,NCSOFT,1.0,1.0,
2,0.0,리니지M,NCSOFT,2.0,2.0,
3,0.0,라이즈 오브 킹덤즈,LilithGames,3.0,4.0,
4,0.0,기적의 검,4399 KOREA,5.0,7.0,4.0
5,0.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,10.0,3.0,1.0
6,0.0,V4,NEXON Company,4.0,8.0,
7,0.0,블레이드&소울 레볼루션,Netmarble,6.0,12.0,
8,0.0,로한M,PLAYWITH Inc.,33.0,266.0,2.0
9,0.0,명일방주,Yostar Limited.,7.0,13.0,
10,0.0,리니지2 레볼루션,Netmarble,8.0,9.0,
11,0.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,9.0,23.0,27.0
12,0.0,샤이닝라이트,Eyougame Inc.,15.0,20.0,6.0
13,0.0,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,61.0,92.0,3.0
14,0.0,바람의전쟁: 뇌명천하,4399 KOREA,13.0,18.0,13.0
15,0.0,브롤스타즈,Supercell,11.0,21.0,
16,0.0,메이플스토리M,NEXON Company,12.0,5.0,
17,0.0,검은사막 모바일,PEARL ABYSS,14.0,19.0,38.0
18,0.0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,48.0,15.0,7.0
19,0.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,16.0,11.0,46.0
20,0.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,17.0,6.0,
21,0.0,모두의마블,Netmarble,31.0,10.0,19.0
22,0.0,황제라 칭하라,"Clicktouch Co., Ltd.",30.0,16.0,20.0
23,0.0,라스트 쉘터: 서바이벌,Long Tech Network Limited,47.0,49.0,8.0
24,0.0,클래시 오브 클랜,Supercell,19.0,28.0,
25,0.0,라플라스M,ZlongGames,23.0,22.0,
26,0.0,붕괴3rd,miHoYo Limited,18.0,41.0,
27,0.0,랑그릿사,ZlongGames,22.0,31.0,
28,0.0,엑소스 히어로즈,LINE Games,21.0,44.0,
29,0.0,배틀그라운드,"KRAFTON, Inc.",27.0,17.0,
30,0.0,라스트오리진,SmartJoy,279.0,,5.0
1,0.0,리니지2M,NCSOFT,1.0,1.0,
2,0.0,리니지M,NCSOFT,2.0,3.0,
3,0.0,라이즈 오브 킹덤즈,LilithGames,3.0,2.0,
4,0.0,기적의 검,4399 KOREA,5.0,9.0,3.0
5,0.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,11.0,4.0,2.0
6,0.0,V4,NEXON Company,4.0,5.0,
7,0.0,블레이드&소울 레볼루션,Netmarble,6.0,12.0,
8,0.0,명일방주,Yostar Limited.,7.0,16.0,
9,0.0,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,74.0,149.0,1.0
10,0.0,리니지2 레볼루션,Netmarble,8.0,8.0,
11,0.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,9.0,6.0,
12,0.0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,25.0,11.0,5.0
13,0.0,샤이닝라이트,Eyougame Inc.,17.0,15.0,7.0
14,0.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,10.0,32.0,40.0
15,0.0,카운터사이드,NEXON Company,12.0,25.0,
16,0.0,검은사막 모바일,PEARL ABYSS,14.0,14.0,21.0
17,0.0,바람의전쟁: 뇌명천하,4399 KOREA,16.0,21.0,18.0
18,0.0,메이플스토리M,NEXON Company,15.0,7.0,
19,0.0,브롤스타즈,Supercell,13.0,22.0,
20,0.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,20.0,10.0,42.0
21,0.0,로한M,PLAYWITH Inc.,55.0,290.0,4.0
22,0.0,황제라 칭하라,"Clicktouch Co., Ltd.",29.0,13.0,15.0
23,0.0,모두의마블,Netmarble,26.0,17.0,29.0
24,0.0,꿈의 정원 (Gardenscapes),Playrix,18.0,24.0,
25,0.0,라스트 쉘터: 서바이벌,Long Tech Network Limited,41.0,46.0,9.0
26,0.0,한게임 포커,NHN BIGFOOT,19.0,53.0,
27,0.0,신강호,LE TUI Network Technology CO.，LTD.,39.0,,12.0
28,0.0,달빛조각사,Kakao Games Corp.,46.0,27.0,14.0
29,0.0,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,22.0,54.0,
30,0.0,라플라스M,ZlongGames,28.0,20.0,
1,0.0,리니지2M,NCSOFT,1.0,1.0,
2,0.0,리니지M,NCSOFT,2.0,2.0,
3,0.0,라이즈 오브 킹덤즈,LilithGames,3.0,3.0,
4,0.0,V4,NEXON Company,4.0,5.0,
5,0.0,기적의 검,4399 KOREA,5.0,8.0,4.0
6,0.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,12.0,6.0,1.0
7,0.0,AFK 아레나,LilithGames,6.0,4.0,
8,0.0,리니지2 레볼루션,Netmarble,7.0,14.0,
9,0.0,블레이드&소울 레볼루션,Netmarble,8.0,16.0,
10,0.0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,25.0,13.0,3.0
11,0.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,10.0,7.0,
12,0.0,붕괴3rd,miHoYo Limited,9.0,29.0,
13,0.0,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,127.0,193.0,2.0
14,0.0,명일방주,Yostar Limited.,11.0,18.0,
15,0.0,달빛조각사,Kakao Games Corp.,26.0,20.0,7.0
16,0.0,검은사막 모바일,PEARL ABYSS,13.0,12.0,35.0
17,0.0,샤이닝라이트,Eyougame Inc.,18.0,21.0,9.0
18,0.0,바람의전쟁: 뇌명천하,4399 KOREA,16.0,19.0,20.0
19,0.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,17.0,41.0,37.0
20,0.0,브롤스타즈,Supercell,15.0,23.0,
21,0.0,라스트 쉘터: 서바이벌,Long Tech Network Limited,44.0,31.0,8.0
22,0.0,메이플스토리M,NEXON Company,22.0,9.0,
23,0.0,카운터사이드,NEXON Company,14.0,35.0,
24,0.0,황제라 칭하라,"Clicktouch Co., Ltd.",31.0,11.0,19.0
25,0.0,로한M,PLAYWITH Inc.,48.0,297.0,6.0
26,0.0,꿈의 정원 (Gardenscapes),Playrix,19.0,28.0,
27,0.0,랑그릿사,ZlongGames,20.0,25.0,
28,0.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,30.0,10.0,55.0
29,0.0,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,21.0,67.0,
30,0.0,별이되어라!,GAMEVIL,45.0,44.0,10.0
1,0.0,리니지2M,NCSOFT,1.0,3.0,
2,0.0,리니지M,NCSOFT,2.0,2.0,
3,0.0,AFK 아레나,LilithGames,3.0,1.0,
4,0.0,기적의 검,4399 KOREA,7.0,10.0,5.0
5,0.0,카오스모바일,"ZERO GAMES CO.,Ltd.",32.0,,1.0
6,0.0,V4,NEXON Company,4.0,6.0,
7,0.0,라이즈 오브 킹덤즈,LilithGames,5.0,4.0,
8,0.0,로한M,PLAYWITH Inc.,52.0,359.0,2.0
9,0.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,12.0,7.0,6.0
10,0.0,명일방주,Yostar Limited.,6.0,16.0,
11,0.0,블레이드&소울 레볼루션,Netmarble,8.0,8.0,
12,0.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,9.0,5.0,
13,0.0,검은사막 모바일,PEARL ABYSS,11.0,11.0,12.0
14,0.0,리니지2 레볼루션,Netmarble,10.0,13.0,
15,0.0,삼국지M,Efun Company,110.0,21.0,3.0
16,0.0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,44.0,14.0,7.0
17,0.0,달빛조각사,Kakao Games Corp.,21.0,28.0,11.0
18,0.0,바람의전쟁: 뇌명천하,4399 KOREA,14.0,22.0,32.0
19,0.0,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,103.0,157.0,4.0
20,0.0,샤이닝라이트,Eyougame Inc.,24.0,27.0,13.0
21,0.0,브롤스타즈,Supercell,15.0,20.0,
22,0.0,메이플스토리M,NEXON Company,19.0,9.0,
23,0.0,라스트 쉘터: 서바이벌,Long Tech Network Limited,34.0,34.0,10.0
24,0.0,랑그릿사,ZlongGames,13.0,37.0,
25,0.0,황제라 칭하라,"Clicktouch Co., Ltd.",25.0,15.0,20.0
26,0.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,17.0,45.0,42.0
27,0.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,29.0,12.0,26.0
28,0.0,카운터사이드,NEXON Company,16.0,42.0,
29,0.0,라플라스M,ZlongGames,23.0,18.0,
30,0.0,꿈의 정원 (Gardenscapes),Playrix,20.0,23.0,
1,0.0,리니지2M,NCSOFT,1.0,2.0,
