rank,rank_change,app_name,publisher_name,biz_category_sub,value
1,,쿠키런: 킹덤,Devsisters Corporation,롤플레잉게임,-6.67
2,,브롤스타즈,Supercell,액션게임,-5.24
3,,ROBLOX,Roblox Corporation,어드벤처게임,-3.52
4,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-0.67
5,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-8.26
6,1.0,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-3.52
7,-1.0,무한의 계단,NFLY STUDIO,아케이드게임,-9.6
8,,Pokémon GO,"Niantic, Inc.",어드벤처게임,-2.28
9,,Minecraft,Mojang,액션게임,-4.58
10,,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-6.33
11,1.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,-0.85
12,2.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,스포츠게임,-0.9
13,-2.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-8.46
14,1.0,캔디크러쉬사가,King,캐주얼게임,0.48
15,1.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,-0.22
16,-3.0,클래시 로얄,Supercell,전략게임,-5.74
17,,클래시 오브 클랜,Supercell,전략게임,-1.85
18,4.0,좀비고등학교,AWESOMEPIECE,아케이드게임,4.11
19,,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-0.54
20,,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-0.8
21,-3.0,오딘: 발할라 라이징,Kakao Games Corp.,롤플레잉게임,-11.08
22,-1.0,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략게임,-5.3
23,,애니팡4,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.93
24,1.0,Rummikub,Kinkajoo,보드게임,0.13
25,-1.0,애니팡2,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.74
26,,애니팡3,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.17
27,,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.28
28,1.0,LoL+,"Riot Games, Inc",게임커뮤니티,-1.8
29,-1.0,Among Us,Innersloth LLC,액션게임,-10.85
30,1.0,피파모바일,NEXON Company,스포츠게임,-3.2
31,1.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,0.84
32,2.0,워드퍼즐 - 단어 게임! 재미있는 단어 퍼즐,Kerun Games,퍼즐/퀴즈게임,2.28
33,,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-1.05
34,1.0,애니팡 맞고,PLAYLINKS Corp.,카지노게임,-0.33
