rank,rank_change,app_name,publisher_name,biz_category_sub,value
1,,브롤스타즈,Supercell,액션게임,-9.99
2,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-2.12
3,,클래시 로얄,Supercell,전략게임,-1.89
4,1.0,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,1.15
5,-1.0,무한의 계단,NFLY STUDIO,아케이드게임,-8.0
6,1.0,Minecraft,Mojang,액션게임,-1.6
7,-1.0,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",Focus apps,퍼즐/퀴즈게임,-15.36
8,,ROBLOX,Roblox Corporation,어드벤처게임,0.16
9,1.0,클래시 오브 클랜,Supercell,전략게임,3.18
10,-1.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,-6.09
11,1.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,1.93
12,-1.0,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.39
13,3.0,LoL+,"Riot Games, Inc",게임커뮤니티,0.92
14,3.0,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,2.05
15,-2.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-6.93
16,-2.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-4.11
17,1.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,-0.85
18,5.0,캔디크러쉬사가,King,캐주얼게임,4.03
19,2.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,1.09
20,,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.16
21,-2.0,궁수의 전설,Habby,액션게임,-4.42
22,-7.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,-19.5
23,-1.0,리니지2M,NCSOFT,롤플레잉게임,-6.0
24,2.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,0.3
25,,쿠키런 for Kakao,Devsisters Corporation,어드벤처게임,-4.32
26,-2.0,프렌즈타운,Kakao Games Corp.,퍼즐/퀴즈게임,-13.62
27,1.0,애니팡 사천성,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,0.01
28,1.0,애니팡 맞고,PLAYLINKS Corp.,카지노게임,0.43
29,3.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,-0.61
30,-3.0,Rider,Ketchapp,아케이드게임,-9.82
1,,브롤스타즈,Supercell,액션게임,-4.09
2,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-0.1
3,1.0,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-0.71
4,-1.0,클래시 로얄,Supercell,전략게임,-4.31
5,,무한의 계단,NFLY STUDIO,아케이드게임,-1.85
6,,Minecraft,Mojang,액션게임,8.46
7,1.0,ROBLOX,Roblox Corporation,어드벤처게임,4.42
8,-1.0,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",Focus apps,퍼즐/퀴즈게임,-10.55
9,,클래시 오브 클랜,Supercell,전략게임,-1.99
10,,Pokémon GO,"Niantic, Inc.",어드벤처게임,-0.81
11,1.0,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,2.1
12,-1.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-1.86
13,2.0,좀비고등학교,AWESOMEPIECE,아케이드게임,0.7
14,,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.29
15,1.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-0.69
16,-3.0,LoL+,"Riot Games, Inc",게임커뮤니티,-3.54
17,,꿈의 집 (Homescapes),Playrix,캐주얼게임,-1.34
18,,캔디크러쉬사가,King,캐주얼게임,1.71
19,,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,-0.12
20,,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.44
21,,궁수의 전설,Habby,액션게임,-2.8
22,2.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,1.16
23,2.0,쿠키런 for Kakao,Devsisters Corporation,어드벤처게임,0.71
24,-1.0,리니지2M,NCSOFT,롤플레잉게임,-5.64
25,-3.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,-13.19
26,1.0,애니팡 사천성,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.1
27,1.0,애니팡 맞고,PLAYLINKS Corp.,카지노게임,0.18
28,-2.0,프렌즈타운,Kakao Games Corp.,퍼즐/퀴즈게임,-5.96
29,,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,-2.27
30,2.0,캔디크러쉬소다,King,캐주얼게임,0.54
1,,브롤스타즈,Supercell,액션게임,18.4
2,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,23.18
3,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,6.16
4,1.0,무한의 계단,NFLY STUDIO,아케이드게임,16.22
5,-1.0,클래시 로얄,Supercell,전략게임,5.85
6,,Minecraft,Mojang,액션게임,21.97
7,,ROBLOX,Roblox Corporation,어드벤처게임,18.86
8,,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",Focus apps,퍼즐/퀴즈게임,8.53
9,1.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,11.87
10,3.0,좀비고등학교,AWESOMEPIECE,아케이드게임,27.63
11,-2.0,클래시 오브 클랜,Supercell,전략게임,2.68
12,-1.0,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,1.64
13,-1.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,2.41
14,1.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,7.43
15,10.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,48.52
16,-2.0,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.62
17,,꿈의 집 (Homescapes),Playrix,캐주얼게임,6.61
18,,캔디크러쉬사가,King,캐주얼게임,8.36
19,,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,6.98
20,3.0,쿠키런 for Kakao,Devsisters Corporation,어드벤처게임,21.23
21,-5.0,LoL+,"Riot Games, Inc",게임커뮤니티,-8.02
22,,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,13.34
23,-2.0,궁수의 전설,Habby,액션게임,7.11
24,-4.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,3.03
25,-1.0,리니지2M,NCSOFT,롤플레잉게임,3.54
26,6.0,Rummikub,Kinkajoo,보드게임,25.75
27,6.0,토킹톰 골드런,Outfit7 Limited,액션게임,20.97
28,3.0,Rider,Ketchapp,아케이드게임,18.7
29,5.0,모두의마블,Netmarble,보드게임,28.29
30,-3.0,애니팡 맞고,PLAYLINKS Corp.,카지노게임,2.97
1,,브롤스타즈,Supercell,액션게임,-7.93
2,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-6.33
3,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-0.21
4,,무한의 계단,NFLY STUDIO,아케이드게임,-11.47
5,,클래시 로얄,Supercell,전략게임,-10.38
6,,Minecraft,Mojang,액션게임,-10.21
7,,ROBLOX,Roblox Corporation,어드벤처게임,-4.4
8,,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",Focus apps,퍼즐/퀴즈게임,-2.15
9,,Pokémon GO,"Niantic, Inc.",어드벤처게임,-2.95
10,,좀비고등학교,AWESOMEPIECE,아케이드게임,-5.41
11,,클래시 오브 클랜,Supercell,전략게임,-6.74
12,,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.6
13,,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-3.31
14,,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-1.09
