"date","(배틀그라운드) AND 핵"
"201801","9"
"201802","11"
"201803","14"
"201804","2"
"201805","7"
"201806","5"
"201807","1"
"201808","8"
"201809","4"
"201810","27"
"201811","11"
"201812","5"
"201901","2"
"201902","12"
"201903","1"
"201904","3"
"201905","4"
"201906","3"
"201907","3"
"201908","1"
"201909","0"
"201910","1"
"201911","6"
"201912","2"
"202001","0"
"202002","2"
"202003","4"
"202004","1"
"202005","4"
"202006","3"
"202007","2"
"202008","2"
"202009","3"
"202010","5"
"202011","1"
"202012","1"
"202101","1"
"202102","2"
"202103","0"
"202104","0"
"202105","1"
"202106","0"
"202107","2"
"202108","0"
"202109","0"
"202110","12"
"202111","1"
"202112","0"
"202201","4"
"202202","8"
"202203","1"
"202204","0"
"202205","0"
"202206","0"
"202207","1"
"202208","0"
