"date","(배틀그라운드) AND 불법"
"201801","6"
"201802","9"
"201803","19"
"201804","4"
"201805","4"
"201806","7"
"201807","6"
"201808","12"
"201809","3"
"201810","26"
"201811","11"
"201812","4"
"201901","3"
"201902","7"
"201903","6"
"201904","6"
"201905","3"
"201906","2"
"201907","1"
"201908","1"
"201909","0"
"201910","2"
"201911","13"
"201912","2"
"202001","0"
"202002","2"
"202003","2"
"202004","2"
"202005","1"
"202006","4"
"202007","5"
"202008","0"
"202009","2"
"202010","11"
"202011","1"
"202012","2"
"202101","0"
"202102","2"
"202103","0"
"202104","0"
"202105","0"
"202106","4"
"202107","0"
"202108","0"
"202109","0"
"202110","0"
"202111","2"
"202112","0"
"202201","8"
"202202","8"
"202203","3"
"202204","0"
"202205","0"
"202206","0"
"202207","2"
"202208","1"
