,week_num,rank,column-1 2,name,company,type
0,0,1,(-),로스트아크,스마일게이트 STOVE,MMORPG
1,0,2,(-),리그 오브 레전드,라이엇 게임즈,AOS
2,0,3,(-),피파온라인4,NEXON COMPANY,스포츠
3,0,4,(-),메이플스토리,넥슨 코리아,롤플레잉
4,0,5,(-),카트라이더,NEXON COMPANY,자동차 경주
5,0,6,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
6,0,7,(-),던전앤파이터,넥슨 코리아,액션
7,0,8,(-),아스텔리아,NEXON COMPANY,롤플레잉
8,0,9,(-),서든어택,넥슨 코리아,FPS
9,0,10,(-),오버워치,블리자드,FPS
10,0,11,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
11,0,12,(-),리니지,엔씨소프트,롤플레잉
12,0,13,(-),포트나이트,네오위즈,RTS
13,0,14,(-),마인크래프트,모장,어드벤처
14,0,15,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
15,0,16,(+1),사이퍼즈,넥슨 코리아,액션
16,0,17,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
17,0,18,(+1),검은사막,카카오게임즈,롤플레잉
18,0,19,(+1),엘소드,넥슨 코리아,롤플레잉
19,0,20,(+1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
20,1,1,(-),로스트아크,스마일게이트 STOVE,MMORPG
21,1,2,(-),리그 오브 레전드,라이엇 게임즈,AOS
22,1,3,(+1),메이플스토리,넥슨 코리아,롤플레잉
23,1,4,(-1),피파온라인4,NEXON COMPANY,스포츠
24,1,5,(-),카트라이더,NEXON COMPANY,자동차 경주
25,1,6,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
26,1,7,(-),던전앤파이터,넥슨 코리아,액션
27,1,8,(+1),서든어택,넥슨 코리아,FPS
28,1,9,(+1),오버워치,블리자드,FPS
29,1,10,(+1),천하제일상 거상,AK INTERACTIVE,롤플레잉
30,1,11,(+1),리니지,엔씨소프트,롤플레잉
31,1,12,(+2),마인크래프트,모장,어드벤처
32,1,13,(-5),아스텔리아,NEXON COMPANY,MMORPG
33,1,14,(+1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
34,1,15,(+6),블레이드앤소울,엔씨소프트,롤플레잉
35,1,16,(-3),포트나이트,네오위즈,RTS
36,1,17,(-1),사이퍼즈,넥슨 코리아,액션
37,1,18,(+2),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
38,1,19,(-2),아이온: 영원의 탑,엔씨소프트,롤플레잉
39,1,20,(-2),검은사막,카카오게임즈,롤플레잉
40,2,1,(-),로스트아크,스마일게이트 STOVE,MMORPG
41,2,2,(-),리그 오브 레전드,라이엇 게임즈,AOS
42,2,3,(-),메이플스토리,넥슨 코리아,롤플레잉
43,2,4,(-),피파온라인4,NEXON COMPANY,스포츠
44,2,5,(-),카트라이더,NEXON COMPANY,스포츠
45,2,6,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
46,2,7,(-),던전앤파이터,넥슨 코리아,액션
47,2,8,(-),서든어택,넥슨 코리아,FPS
48,2,9,(+3),마인크래프트,모장,어드벤처
49,2,10,(-1),오버워치,블리자드,FPS
50,2,11,(-1),천하제일상 거상,AK INTERACTIVE,롤플레잉
51,2,12,(-1),리니지,엔씨소프트,롤플레잉
52,2,13,(+1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
53,2,14,(+1),블레이드앤소울,엔씨소프트,롤플레잉
54,2,15,(+2),사이퍼즈,넥슨 코리아,액션
55,2,16,(-3),아스텔리아,NEXON COMPANY,롤플레잉
56,2,17,(+3),검은사막,카카오게임즈,롤플레잉
57,2,18,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
58,2,19,(-1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
59,2,20,(-4),포트나이트,네오위즈,RTS
60,3,1,(+2),메이플스토리,NEXON Company,롤플레잉
61,3,2,(-),리그 오브 레전드,라이엇 게임즈,AOS
62,3,3,(-2),로스트아크,스마일게이트 STOVE,MMORPG
63,3,4,(-),피파온라인4,NEXON COMPANY,스포츠
64,3,5,(-),카트라이더,NEXON COMPANY,스포츠
65,3,6,(+1),던전앤파이터,넥슨 코리아,액션
66,3,7,(-1),배틀그라운드,"Kakao Games Corp., PUBG",FPS
67,3,8,(+2),오버워치,블리자드,FPS
68,3,9,(-1),서든어택,넥슨 코리아,FPS
69,3,10,(+1),천하제일상 거상,AK INTERACTIVE,롤플레잉
70,3,11,(-2),마인크래프트,모장,어드벤처
71,3,12,(-),리니지,엔씨소프트,롤플레잉
72,3,13,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
73,3,14,(-),블레이드앤소울,엔씨소프트,롤플레잉
74,3,15,(-),사이퍼즈,넥슨 코리아,액션
75,3,16,(+1),검은사막,카카오게임즈,롤플레잉
76,3,17,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
77,3,18,(-2),아스텔리아,NEXON Company,MMORPG
78,3,19,(-),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
79,3,20,(+1),엘소드,넥슨 코리아,롤플레잉
80,4,1,(+1),리그 오브 레전드,라이엇 게임즈,AOS
81,4,2,(-1),메이플스토리,NEXON COMPANY,롤플레잉
82,4,3,(-),로스트아크,스마일게이트 STOVE,MMORPG
83,4,4,(-),피파온라인4,NEXON COMPANY,스포츠
84,4,5,(-),카트라이더,NEXON COMPANY,스포츠
85,4,6,(-),던전앤파이터,넥슨 코리아,액션
86,4,7,(-),배틀그라운드,"Kakao Games Corp., PUBG",FPS
87,4,8,(+2),천하제일상 거상,AK INTERACTIVE,롤플레잉
88,4,9,(-1),오버워치,블리자드,FPS
89,4,10,(-1),서든어택,넥슨 코리아,FPS
90,4,11,(-),마인크래프트,모장,어드벤처
91,4,12,(-),리니지,엔씨소프트,롤플레잉
92,4,13,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
93,4,14,(-),블레이드앤소울,엔씨소프트,롤플레잉
94,4,15,(-),사이퍼즈,넥슨 코리아,액션
95,4,16,(-),검은사막,카카오게임즈,롤플레잉
96,4,17,(-),아이온: 영원의 탑,엔씨소프트,롤플레잉
97,4,18,(-),아스텔리아,NEXON Company,MMORPG
98,4,19,(-),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
99,4,20,(-),엘소드,넥슨 코리아,롤플레잉
100,5,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
101,5,2,(+1),로스트아크,스마일게이트 STOVE,MMORPG
102,5,3,(-1),메이플스토리,NEXON COMPANY,롤플레잉
103,5,4,(-),피파온라인4,NEXON COMPANY,스포츠
104,5,5,(-),카트라이더,NEXON COMPANY,스포츠
105,5,6,(-),던전앤파이터,넥슨 코리아,액션
106,5,7,(-),배틀그라운드,"Kakao Games Corp., PUBG",FPS
107,5,8,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
108,5,9,(-),오버워치,블리자드,FPS
109,5,10,(-),서든어택,넥슨 코리아,FPS
110,5,11,(-),마인크래프트,모장,어드벤처
111,5,12,(-),리니지,엔씨소프트,롤플레잉
112,5,13,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
113,5,14,(-),블레이드앤소울,엔씨소프트,롤플레잉
114,5,15,(-),사이퍼즈,넥슨 코리아,액션
115,5,16,(-),검은사막,카카오게임즈,롤플레잉
116,5,17,(-),아이온: 영원의 탑,엔씨소프트,롤플레잉
117,5,18,(+1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
118,5,19,(+1),엘소드,넥슨 코리아,롤플레잉
119,5,20,(-2),아스텔리아,NEXON COMPANY,MMORPG
120,6,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
121,6,2,(-),로스트아크,스마일게이트 STOVE,MMORPG
122,6,3,(-),메이플스토리,NEXON COMPANY,롤플레잉
123,6,4,(-),피파온라인4,NEXON COMPANY,스포츠
124,6,5,(-),카트라이더,NEXON COMPANY,스포츠
125,6,6,(-),던전앤파이터,넥슨 코리아,액션
126,6,7,(-),배틀그라운드,"Kakao Games Corp., PUBG",FPS
127,6,8,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
128,6,9,(+1),서든어택,넥슨 코리아,FPS
129,6,10,(-1),오버워치,블리자드,FPS
130,6,11,(-),마인크래프트,모장,어드벤처
131,6,12,(-),리니지,엔씨소프트,롤플레잉
132,6,13,(+1),블레이드앤소울,엔씨소프트,롤플레잉
133,6,14,(-1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
134,6,15,(-),사이퍼즈,넥슨 코리아,액션
135,6,16,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
