"date","개수"
"201712","2"
"201801","3"
"201802","2"
"201803","2"
"201804","4"
"201805","2"
"201806","3"
"201807","3"
"201808","2"
"201809","2"
"201810","1"
"201811","1"
"201812","1"
"201901","2"
"201902","1"
"201903","1"
"201904","1"
"201905","1"
"201906","1"
"201907","1"
"201908","1"
"201909","1"
"201910","1"
"201911","1"
"201912","1"
"202001","1"
"202002","1"
"202003","1"
"202004","1"
"202005","1"
"202006","1"
"202007","1"
"202008","1"
"202009","1"
"202010","1"
"202011","1"
"202012","1"
"202101","1"
"202102","1"
"202103","1"
"202104","1"
"202105","1"
"202106","1"
"202107","1"
"202108","1"
"202109","1"
"202110","1"
"202111","1"
"202112","0"
"202201","1"
"202202","1"
"202203","1"
"202204","1"
"202205","2"
"202206","0"
"202207","1"
"202208","1"
