name,name
서든어택,286
아이온,286
메이플스토리,286
배틀그라운드,286
던전앤파이터,286
사이퍼즈,286
스타크래프트 리마스터,286
리니지,286
스타크래프트2,286
오버워치,286
워크래프트3 리포지드,286
월드 오브 워크래프트,286
카트라이더,286
리그 오브 레전드,286
블레이드 & 소울,285
검은사막,283
테일즈런너,270
FIFA 온라인 4,264
크레이지아케이드,259
디아블로3,259
리니지2,246
로스트아크,234
GTA 5,219
스페셜포스,212
히어로즈 오브 더 스톰,200
한게임 로우바둑이,167
패스 오브 엑자일,160
DOTA 2,141
레인보우식스 시즈,136
발로란트,136
APEX LEGENDS,120
파이널판타지14,113
이터널 리턴,110
Monster Hunter : World,88
Destiny: Guardians,77
오딘: 발할라 라이징,69
거상,66
디아블로2: 레저렉션,55
천애명월도,49
콜 오브 듀티: 모던 워페어,48
하스스톤,46
테라,39
엘소드,32
엘리온,27
소울워커,17
알투비트,13
클로저스,11
카운터-스트라이크 온라인,11
언디셈버,11
마비노기,11
콜 오브 듀티: 블랙 옵스 4,10
디아블로 이모탈,9
Counter-Strike : Global Offensive,8
버블파이터,8
Astellia,8
아키에이지,7
한게임 신맞고,7
DK온라인,6
마비노기 영웅전,5
Fall Guys,5
R2,4
Dead by Daylight,3
피망 포커,3
슬러거,3
Battlerite,2
피망 고스톱,1
포트나이트,1
ELDEN RING,1
레전드 오브 룬테라,1
