,tablescraper-selected-row,name,tablescraper-selected-row 2,tablescraper-selected-row 3,num,num 2,num 3,num 4,tablescraper-selected-row 5
0,1.0,배틀그라운드,FPS,70.89,"9,407","11,407,612",92.0,"7,464,234",카카오/스팀
2,2.0,리그 오브 레전드,RTS,86.69,"9,524","6,938,099",94.0,"4,448,793",라이엇게임즈
4,3.0,오버워치,FPS,19.23,"9,430","3,094,425",74.0,"2,521,406",블리자드
6,4.0,서든어택,FPS,8.31,"9,326","1,335,868",68.0,"1,182,326",넥슨
8,5.0,던전앤파이터,액션,70.33,"8,899","816,895",83.0,"580,764",넥슨
10,6.0,스타크래프트 리마스터,RTS,8.95,"9,086","716,051",70.0,"617,973",블리자드
12,7.0,메이플스토리,RPG,22.76,"8,743","661,255",83.0,"482,497",넥슨
14,8.0,리니지,RPG,11.51,"5,730","334,189",121.0,"165,683",엔씨소프트
16,9.0,월드 오브 워크래프트,RPG,9.55,"5,726","277,312",127.0,"131,808",블리자드
18,10.0,디아블로3,RPG,9.36,"6,478","271,875",114.0,"144,391",블리자드
20,11.0,블레이드 & 소울,RPG,7.59,"5,452","220,442",107.0,"123,541",엔씨소프트
22,12.0,검은사막,RPG,6.95,"5,484","201,885",106.0,"116,272",(주)펄어비스
24,13.0,카트라이더,레이싱,60.18,"7,862","176,532",37.0,"291,409",넥슨
26,14.0,사이퍼즈,액션,14.94,"5,097","173,511",112.0,"92,762",넥슨
28,15.0,워크래프트3 리포지드,RTS,1.6,"3,982","127,909",83.0,"92,691",블리자드
30,16.0,아이온,RPG,4.17,"3,742","120,948",100.0,"73,014",엔씨소프트
32,17.0,히어로즈 오브 더 스톰,RTS,1.26,"3,208","100,505",86.0,"70,605",블리자드
34,18.0,테라,RPG,3.06,"2,858","88,766",97.0,"54,948",넥슨
36,19.0,테일즈런너,스포츠,4.53,"4,974","85,679",44.0,"118,644",스마일게이트
38,20.0,파이널판타지14,RPG,2.66,"2,358","77,104",151.0,"30,771",액토즈소프트
40,21.0,GTA 5,액션,6.57,"2,402","76,210",74.0,"61,924",스팀
42,22.0,한게임 로우바둑이,보드,14.53,"3,552","72,773",27.0,"164,514",한게임
44,23.0,엘소드,RPG,2.47,"3,802","71,599",68.0,"63,000",넥슨
46,24.0,크레이지아케이드,아케이드,64.94,"5,160","71,178",30.0,"146,174",넥슨
48,25.0,스페셜포스,FPS,0.44,"2,741","69,702",99.0,"42,310",네오위즈
50,26.0,스타크래프트2,RTS,0.85,"3,065","67,270",76.0,"53,607",블리자드
52,27.0,하스스톤,보드,12.67,"5,011","63,429",43.0,"90,331",블리자드
54,28.0,카운터-스트라이크 온라인,FPS,0.39,"5,064","62,132",34.0,"112,365",넥슨
56,29.0,클로저스,액션,4.77,"3,120","55,314",72.0,"46,200",넥슨
58,30.0,리니지2,RPG,1.63,"1,763","47,231",148.0,"19,211",엔씨소프트
0,1.0,배틀그라운드,FPS,71.49,"9,408","13,105,093",91.0,"8,719,927",카카오/스팀
2,2.0,리그 오브 레전드,RTS,86.59,"9,530","7,842,504",94.0,"5,013,091",라이엇게임즈
4,3.0,오버워치,FPS,18.65,"9,436","3,417,461",73.0,"2,838,613",블리자드
6,4.0,서든어택,FPS,8.35,"9,324","1,530,348",70.0,"1,328,259",넥슨
8,5.0,던전앤파이터,액션,71.45,"8,793","913,146",85.0,"634,651",넥슨
10,6.0,스타크래프트 리마스터,RTS,9.01,"9,043","815,227",71.0,"695,264",블리자드
12,7.0,메이플스토리,RPG,22.61,"8,598","738,289",86.0,"517,750",넥슨
14,8.0,리니지,RPG,11.95,"5,702","390,052",123.0,"190,621",엔씨소프트
16,9.0,월드 오브 워크래프트,RPG,9.66,"5,679","315,482",126.0,"150,470",블리자드
18,10.0,디아블로3,RPG,9.02,"6,322","294,445",114.0,"155,765",블리자드
20,11.0,블레이드 & 소울,RPG,7.64,"5,328","249,358",108.0,"138,489",엔씨소프트
22,12.0,검은사막,RPG,6.97,"5,247","227,621",114.0,"119,560",(주)펄어비스
24,13.0,카트라이더,레이싱,63.19,"7,885","203,577",36.0,"340,024",넥슨
26,14.0,사이퍼즈,액션,15.02,"4,944","191,906",113.0,"101,777",넥슨
28,15.0,워크래프트3 리포지드,RTS,1.57,"3,859","141,406",85.0,"100,834",블리자드
30,16.0,아이온,RPG,4.02,"3,712","131,113",97.0,"81,554",엔씨소프트
32,17.0,히어로즈 오브 더 스톰,RTS,1.33,"3,247","119,914",86.0,"83,510",블리자드
34,18.0,테라,RPG,3.24,"2,970","105,822",94.0,"67,820",넥슨
36,19.0,테일즈런너,스포츠,4.69,"4,861","94,264",43.0,"133,199",스마일게이트
38,20.0,스페셜포스,FPS,0.46,"2,803","82,507",102.0,"49,008",네오위즈
40,21.0,파이널판타지14,RPG,2.5,"2,254","81,334",147.0,"33,130",액토즈소프트
42,22.0,크레이지아케이드,아케이드,63.89,"5,157","81,250",30.0,"163,680",넥슨
44,23.0,한게임 로우바둑이,보드,13.98,"3,406","79,165",28.0,"174,840",한게임
46,24.0,스타크래프트2,RTS,0.83,"3,010","74,886",76.0,"59,766",블리자드
48,25.0,GTA 5,액션,5.74,"2,167","73,298",74.0,"60,086",스팀
50,26.0,하스스톤,보드,12.26,"4,790","69,428",44.0,"95,490",블리자드
52,27.0,엘소드,RPG,1.95,"3,225","63,458",70.0,"54,437",넥슨
54,28.0,클로저스,액션,4.46,"2,818","56,934",70.0,"48,238",넥슨
56,29.0,아키에이지,RPG,1.69,"1,521","55,051",65.0,"50,906",넥슨
58,30.0,리니지2,RPG,1.66,"1,745","53,979",148.0,"22,011",엔씨소프트
0,1.0,배틀그라운드,FPS,73.25,"9,421","13,520,589",94.0,"8,656,803",카카오/스팀
2,2.0,리그 오브 레전드,RTS,88.31,"9,529","8,874,151",98.0,"5,442,532",라이엇게임즈
4,3.0,오버워치,FPS,17.54,"9,440","3,237,697",74.0,"2,649,799",블리자드
6,4.0,서든어택,FPS,7.81,"9,307","1,440,273",70.0,"1,244,722",넥슨
8,5.0,던전앤파이터,액션,75.93,"8,933","1,071,074",90.0,"702,218",넥슨
10,6.0,스타크래프트 리마스터,RTS,7.74,"8,991","777,505",70.0,"669,987",블리자드
12,7.0,메이플스토리,RPG,22.34,"8,505","726,498",88.0,"495,056",넥슨
14,8.0,리니지,RPG,11.38,"5,675","370,065",123.0,"182,017",엔씨소프트
16,9.0,월드 오브 워크래프트,RPG,9.45,"5,617","307,238",125.0,"148,246",블리자드
18,10.0,디아블로3,RPG,8.03,"6,021","260,954",112.0,"141,053",블리자드
20,11.0,블레이드 & 소울,RPG,7.25,"5,336","235,488",105.0,"135,044",엔씨소프트
22,12.0,아이온,RPG,7.17,"4,933","233,168",87.0,"163,510",엔씨소프트
24,13.0,검은사막,RPG,7.17,"5,298","232,946",117.0,"119,945",(주)펄어비스
26,14.0,카트라이더,레이싱,66.84,"7,781","187,392",36.0,"312,918",넥슨
28,15.0,사이퍼즈,액션,13.12,"4,940","185,022",110.0,"100,597",넥슨
30,16.0,워크래프트3 리포지드,RTS,1.3,"3,678","129,993",85.0,"92,674",블리자드
32,17.0,히어로즈 오브 더 스톰,RTS,1.25,"3,235","125,174",91.0,"83,218",블리자드
34,18.0,테라,RPG,3.03,"2,746","98,501",92.0,"64,580",넥슨
36,19.0,테일즈런너,스포츠,5.02,"4,879","95,777",40.0,"146,983",스마일게이트
