date,read,thumb
2022-08-03,2.3,26
2022-07-06,2.7,31
2022-05-31,3.1,21
2022-05-03,4,25
2022-04-06,3.7,48
2022-03-08,4.4,31
2022-02-09,5.4,38
2022-01-05,3.7,57
2021-11-24,4.2,40
2021-10-27,2.6,16
2021-09-29,3.9,26
2021-09-01,4.7,31
2021-07-28,5.5,36
2021-06-29,4.7,58
2021-05-26,3.9,29
2021-04-21,3,23
2021-03-24,7,36
2021-02-09,5.5,37
2021-01-08,5,40
2020-12-09,5.4,52
2020-11-11,5,35
2020-10-14,6.2,54
2020-09-09,5,45
2020-08-10,4.3,55
2020-07-14,6.2,42
2020-06-08,4.7,30
2020-05-13,7.5,56
2020-04-14,5.9,52
2020-03-11,4.6,25
2020-02-13,4.3,34
2020-01-15,6.2,34
2019-12-11,4.4,18
2019-11-13,5.5,26
2019-11-06,1.7,10
2019-10-16,6.4,50
2019-09-18,5.4,29
2019-08-14,4.8,39
2019-07-17,9.7,63
2019-06-19,8.2,60
2019-05-15,5.8,35
2019-04-17,4.9,34
2019-03-20,10,89
2019-02-20,6.8,40
2019-01-23,7.5,65
2019-01-09,2.5,16
2018-12-07,9.6,104
2018-11-16,5.6,33
2018-10-18,12,47
2018-09-20,25,94
2018-09-05,11,107
2018-08-16,10,92
2018-08-01,14,139
2018-07-17,9.3,81
2018-07-11,5.6,41
2018-07-04,9.1,34
2018-06-27,6,23
2018-06-21,5.2,35
2018-06-19,11,94
2018-05-30,23,135
2018-05-16,12,62
2018-04-26,29,209
2018-04-17,11,38
2018-04-12,10,65
2018-04-03,8.3,22
2018-03-26,12,71
2018-03-09,17,93
2018-02-20,13,73
2018-02-07,10,45
2018-01-30,9.4,34
2018-01-24,9.2,35
2018-01-09,14,80
2017-12-28,7.6,42
2017-12-21,13,113
